contract_id,contract_type,side,seller_id,branch_code,currency,notional,rate_type,interest_rate,settlement_date,maturity_date,tenor_months,payment_frequency,day_count,business_day_convention,amortization_type,prepayment_allowed,prepayment_penalty,guarantee_type,rating
CNT-830D039224CC,PAM,ASSET,SLR-DE-003,US,USD,1729583,fixed,0.04558,2022-05-26,2032-09-30,126,annual,30/360,Following,linear,True,0,none,BB
CNT-47AC9A2FCB47,MORTGAGE,ASSET,SLR-DE-011,US,GBP,4677265,floating,0.06449,2021-08-27,2035-10-13,172,quarterly,ACT/ACT,ModifiedFollowing,constant_installment,True,0,mortgage,AAA
CNT-4CD2EAB7EEE3,PAM,ASSET,SLR-DE-015,DE,USD,9006414,floating,0.07595,2025-06-29,2028-04-14,34,monthly,ACT/365,Preceding,bullet,False,0.0141,none,B
CNT-B8716B831144,ANNUITE,ASSET,SLR-ES-011,ES,EUR,4673623,fixed,0.02404,2023-08-26,2042-10-15,233,quarterly,ACT/365,ModifiedFollowing,linear,False,0.0137,none,BB
CNT-695C9CA5F830,MORTGAGE,ASSET,SLR-ES-014,ES,EUR,9354066,fixed,0.03518,2024-12-17,2049-04-10,296,monthly,ACT/360,Following,constant_installment,False,0,personal,BB
CNT-0946730C9E29,TERM_DEPOSIT,PASSIF,,ES,EUR,9380432,fixed,0.02047,2023-08-15,2027-01-26,42,monthly,ACT/365,,,,,,
CNT-E971858E91A3,BULLET,ASSET,SLR-ES-002,US,USD,2330821,floating,0.06829,2023-05-03,2025-06-21,26,monthly,30/360,Following,bullet,True,0.0084,none,BBB
CNT-2DBD4E1FC6E1,COMMERCIAL_LOAN,ASSET,SLR-DE-002,US,GBP,202619,floating,0.06861,2022-05-18,2034-12-11,153,semiannual,ACT/365,Following,constant_installment,False,0,none,B
CNT-70EE8BAE354E,TERM_DEPOSIT,PASSIF,,FR,GBP,10266869,fixed,0.00797,2025-08-06,2029-08-15,49,quarterly,ACT/365,,,,,,
CNT-D99EA4A0CA85,BULLET,ASSET,SLR-DE-015,ES,GBP,336765,fixed,0.04297,2025-07-25,2028-12-06,41,semiannual,ACT/360,Following,linear,True,0,commercial,NR
CNT-C28A0BEDE8D1,BULLET,ASSET,SLR-FR-002,DE,EUR,9234173,fixed,0.03901,2025-04-07,2028-12-17,45,quarterly,ACT/360,Preceding,constant_installment,False,0.013,commercial,BB
CNT-E402EC245158,PAM,ASSET,SLR-US-015,US,EUR,3870684,floating,0.06177,2022-11-22,2024-09-12,22,monthly,30/360,Following,linear,True,0.0014,personal,A
CNT-A65C46EF75DB,PAM,ASSET,SLR-US-007,US,EUR,6839332,floating,0.06569,2025-02-15,2036-04-18,136,annual,ACT/365,ModifiedFollowing,constant_installment,False,0.0011,none,AAA
CNT-8ADAB46E0674,ANNUITE,ASSET,SLR-FR-013,FR,EUR,7536486,fixed,0.02761,2025-05-28,2030-06-01,61,semiannual,ACT/ACT,Following,linear,False,0.0171,none,AAA
CNT-F36D86524910,MORTGAGE,ASSET,SLR-US-014,DE,EUR,8157706,fixed,0.02665,2023-06-30,2038-05-12,181,monthly,ACT/360,ModifiedFollowing,linear,False,0,commercial,A
CNT-7AF1F16072EA,COMMERCIAL_LOAN,ASSET,SLR-ES-008,US,GBP,3662414,floating,0.0619,2025-11-12,2030-01-20,51,semiannual,30/360,Following,bullet,False,0.0171,personal,AAA
CNT-475B5856C241,DEMAND_DEPOSIT,PASSIF,,DE,EUR,8055454,fixed,0.00367,2025-10-23,,,monthly,ACT/365,,,,,,
CNT-8B7E3B3067E5,PAM,ASSET,SLR-DE-015,ES,EUR,8780838,floating,0.06167,2024-06-02,2053-01-01,348,quarterly,ACT/365,Following,constant_installment,False,0,mortgage,BBB
CNT-AA621F48228D,BULLET,ASSET,SLR-US-005,FR,EUR,9455465,fixed,0.04485,2025-08-19,2028-04-05,32,semiannual,ACT/360,ModifiedFollowing,linear,True,0,personal,BBB
CNT-2C4A7CADBB55,BULLET,ASSET,SLR-US-007,FR,GBP,5032741,fixed,0.06268,2022-06-22,2026-03-03,45,semiannual,30/360,Following,bullet,True,0,personal,B
CNT-1002CDAEA39C,MORTGAGE,ASSET,SLR-ES-011,DE,USD,862264,floating,0.07858,2025-09-03,2041-02-11,188,semiannual,30/360,Following,constant_installment,True,0.0052,commercial,BB
CNT-8B14978EFFAB,MORTGAGE,ASSET,SLR-ES-006,FR,EUR,6204416,fixed,0.04182,2022-12-05,2034-02-05,136,annual,ACT/360,Following,constant_installment,False,0.0159,none,A
CNT-1A798B03B893,PAM,ASSET,SLR-DE-003,FR,EUR,6827881,floating,0.06768,2022-09-17,2047-03-10,298,quarterly,ACT/360,Following,constant_installment,True,0,mortgage,NR
CNT-B370AFCDC800,SAVINGS,PASSIF,,US,USD,31597472,fixed,0.03171,2025-08-02,2026-06-28,11,monthly,ACT/365,,,,,,
CNT-2A2F823B99C5,MORTGAGE,ASSET,SLR-FR-007,ES,USD,3250180,fixed,0.04095,2023-12-16,2038-04-01,174,monthly,ACT/365,ModifiedFollowing,bullet,False,0.0169,mortgage,AAA
CNT-BCE49E476F5A,COMMERCIAL_LOAN,ASSET,SLR-DE-002,ES,EUR,7300770,floating,0.05217,2024-04-03,2025-12-24,21,annual,30/360,ModifiedFollowing,bullet,True,0,commercial,AAA
CNT-C67110ADAE9B,BULLET,ASSET,SLR-FR-006,US,GBP,5549837,fixed,0.04725,2022-09-12,2024-10-31,26,semiannual,ACT/365,Preceding,constant_installment,False,0,mortgage,BB
CNT-E8AC008B6B23,ANNUITE,ASSET,SLR-DE-009,US,USD,6822810,fixed,0.06276,2023-02-13,2036-12-31,169,semiannual,ACT/365,Following,constant_installment,False,0,commercial,B
CNT-B7550B614133,MORTGAGE,ASSET,SLR-DE-008,FR,GBP,5633525,fixed,0.04135,2025-09-01,2034-02-16,103,semiannual,ACT/360,Following,linear,True,0,commercial,BB
CNT-FBDEC11A06AC,PAM,ASSET,SLR-ES-012,US,USD,4103379,fixed,0.05978,2025-05-13,2042-06-13,208,monthly,ACT/ACT,Following,linear,False,0,personal,NR
CNT-13D9598C3BDC,PAM,ASSET,SLR-DE-009,DE,USD,8478772,floating,0.07419,2023-10-20,2043-05-08,238,quarterly,ACT/ACT,ModifiedFollowing,constant_installment,True,0.0055,commercial,B
CNT-DC17AD93DDFF,ANNUITE,ASSET,SLR-US-006,FR,GBP,5373836,floating,0.06272,2023-03-01,2029-01-28,72,quarterly,ACT/360,ModifiedFollowing,bullet,True,0.0013,commercial,A
CNT-E6D04BCC0F1B,ANNUITE,ASSET,SLR-US-002,DE,EUR,9809226,floating,0.0681,2022-04-17,2031-05-30,111,annual,30/360,ModifiedFollowing,constant_installment,False,0.0191,commercial,BB
CNT-0F5D7B2796D6,MORTGAGE,ASSET,SLR-US-002,DE,GBP,7322114,fixed,0.03878,2023-06-21,2048-11-06,309,semiannual,ACT/ACT,Preceding,linear,False,0.0196,none,BBB
CNT-A2B596A33F9C,MORTGAGE,ASSET,SLR-FR-002,DE,EUR,3058907,floating,0.06734,2025-11-29,2036-07-04,129,semiannual,ACT/360,ModifiedFollowing,constant_installment,False,0.0076,commercial,A
CNT-ADE0CAE7113A,MORTGAGE,ASSET,SLR-ES-012,US,GBP,1161225,fixed,0.03897,2021-10-24,2041-06-11,239,monthly,ACT/360,Following,linear,True,0,commercial,B
