id,contract_id,contract_type,side,seller_id,branch_code,currency,rating,notional,rate_type,interest_rate,spread_over_index,settlement_date,maturity_date,tenor_months,payment_frequency,day_count,business_day_convention,amortization_type,prepayment_allowed,prepayment_penalty,guarantee_type,profiles_json,rates_json,risk_weight,created_at
2095b0b2-c879-457c-96fa-8f66f9e0d1a6,CNT-8E16AE273D5B,TERM_DEPOSIT,PASSIF,,ES,EUR,,9380432.0,fixed,0.02047,0.0,2023-08-14,2027-01-25,42,monthly,ACT/365,,,False,0.0,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.029, 0.0298, 0.03, 0.0305, 0.029, 0.028]",1.0,2026-04-09T16:53:10.742132
0522a227-0b15-4cb9-bba9-e2acc1b311ee,CNT-1D2A2782F0F3,TERM_DEPOSIT,PASSIF,,FR,GBP,,10266869.0,fixed,0.00797,0.0,2025-08-05,2029-08-14,49,quarterly,ACT/365,,,False,0.0,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.0492, 0.0488, 0.048, 0.0465, 0.044, 0.0425]",1.0,2026-04-09T16:53:10.742361
79e48a0b-ff15-4f68-9234-75dd6774cd5c,CNT-4581DC3030FF,DEMAND_DEPOSIT,PASSIF,,DE,EUR,,8055454.0,fixed,0.00367,0.0,2025-10-22,,0,monthly,ACT/365,,,False,0.0,,"[0.0, 0.0]",[0.029],1.0,2026-04-09T16:53:10.742518
01c2d371-2b9c-4318-bb0d-d0809eae481d,CNT-1A65FF094EC1,SAVINGS,PASSIF,,US,USD,,31597472.0,fixed,0.03171,0.0,2025-08-01,2026-06-27,11,monthly,ACT/365,,,False,0.0,,"[1.0, 1.0, 1.0, 0.0]","[0.0532, 0.0528, 0.052]",1.0,2026-04-09T16:53:10.742644
87e899ab-0e96-45c6-b37a-100603e8d9a7,CNT-6A1565A5CAAC,SAVINGS,PASSIF,,ES,EUR,,45929846.0,fixed,0.02793,0.0,2024-10-29,2027-12-13,38,monthly,ACT/365,,,False,0.0,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.029, 0.0298, 0.03, 0.0305, 0.029, 0.028]",1.0,2026-04-09T16:53:10.742828
d4e33652-fda6-4024-b0b8-dcc3dce18dbb,CNT-9D49B26EBD4A,CERTIFICATE_OF_DEPOSIT,PASSIF,,FR,USD,,17770100.0,fixed,0.02522,0.0,2025-08-19,2028-09-02,37,annual,ACT/365,,,False,0.0,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.0532, 0.0528, 0.052, 0.0495, 0.047, 0.0455]",1.0,2026-04-09T16:53:10.743092
eed0f666-b3c1-46ca-939a-6c1bb628c358,CNT-27CE138AB272,CERTIFICATE_OF_DEPOSIT,PASSIF,,DE,USD,,3473607.0,fixed,0.00832,0.0,2024-02-29,2024-06-28,4,monthly,ACT/365,,,False,0.0,,"[1.0, 1.0, 0.0]","[0.0532, 0.0528]",1.0,2026-04-09T16:53:10.743179
093def66-0715-4175-bef3-10eab188984c,CNT-ED039CBA3F94,SAVINGS,PASSIF,,US,GBP,,21362451.0,fixed,0.0233,0.0,2024-11-17,2026-03-12,16,monthly,ACT/365,,,False,0.0,,"[1.0, 1.0, 1.0, 1.0, 0.0]","[0.0492, 0.0488, 0.048, 0.0465]",1.0,2026-04-09T16:53:10.743297
0f35e9f4-3c62-4610-adc3-01a1bc9af8a1,CNT-D09732DAE86C,SAVINGS,PASSIF,,DE,EUR,,43619799.0,fixed,0.03148,0.0,2024-09-14,2027-04-02,31,monthly,ACT/365,,,False,0.0,,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.029, 0.0298, 0.03, 0.0305, 0.029]",1.0,2026-04-09T16:53:10.743451
a6b3aa39-d6ad-41e8-86cd-8a85d0270137,CNT-A2115C97BD91,CERTIFICATE_OF_DEPOSIT,PASSIF,,DE,GBP,,41325720.0,fixed,0.02934,0.0,2023-11-12,2027-10-22,48,quarterly,ACT/365,,,False,0.0,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.0492, 0.0488, 0.048, 0.0465, 0.044, 0.0425]",1.0,2026-04-09T16:53:10.743593
