position_ref,product_type,branch,seller,currency,outstanding,origination_date,maturity_date,client_rate,risk_weight,profiles_json,rates_json
CNT-8E16AE273D5B,term_deposit,ES,,EUR,9380432.0,2023-08-14,2027-01-25,0.02047,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.029, 0.0298, 0.03, 0.0305, 0.029, 0.028]"
CNT-1D2A2782F0F3,term_deposit,FR,,GBP,10266869.0,2025-08-05,2029-08-14,0.00797,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.0492, 0.0488, 0.048, 0.0465, 0.044, 0.0425]"
CNT-4581DC3030FF,demand_deposit,DE,,EUR,8055454.0,2025-10-22,,0.00367,1.0,"[0.0, 0.0]",[0.029]
CNT-1A65FF094EC1,savings,US,,USD,31597472.0,2025-08-01,2026-06-27,0.03171,1.0,"[1.0, 1.0, 1.0, 0.0]","[0.0532, 0.0528, 0.052]"
CNT-6A1565A5CAAC,savings,ES,,EUR,45929846.0,2024-10-29,2027-12-13,0.02793,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.029, 0.0298, 0.03, 0.0305, 0.029, 0.028]"
CNT-9D49B26EBD4A,certificate_of_deposit,FR,,USD,17770100.0,2025-08-19,2028-09-02,0.02522,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.0532, 0.0528, 0.052, 0.0495, 0.047, 0.0455]"
CNT-27CE138AB272,certificate_of_deposit,DE,,USD,3473607.0,2024-02-29,2024-06-28,0.00832,1.0,"[1.0, 1.0, 0.0]","[0.0532, 0.0528]"
CNT-ED039CBA3F94,savings,US,,GBP,21362451.0,2024-11-17,2026-03-12,0.0233,1.0,"[1.0, 1.0, 1.0, 1.0, 0.0]","[0.0492, 0.0488, 0.048, 0.0465]"
CNT-D09732DAE86C,savings,DE,,EUR,43619799.0,2024-09-14,2027-04-02,0.03148,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.029, 0.0298, 0.03, 0.0305, 0.029]"
CNT-A2115C97BD91,certificate_of_deposit,DE,,GBP,41325720.0,2023-11-12,2027-10-22,0.02934,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.0492, 0.0488, 0.048, 0.0465, 0.044, 0.0425]"
