series_name,obs_date,tenor,rate
ESTR,2023-04-10,1D,0.12
ESTR,2023-04-10,1W,0.12
ESTR,2023-04-10,2W,0.12
ESTR,2023-04-10,1M,0.12
ESTR,2023-04-10,2M,0.12
ESTR,2023-04-10,3M,0.12
ESTR,2023-04-10,6M,0.12
ESTR,2023-04-10,9M,0.12
ESTR,2023-04-10,1Y,0.12
ESTR,2023-04-10,2Y,0.12
ESTR,2023-04-10,3Y,0.12
ESTR,2023-04-10,5Y,0.12
ESTR,2023-04-10,7Y,0.12
ESTR,2023-04-10,10Y,0.12
ESTR,2023-04-10,15Y,0.12
ESTR,2023-04-10,20Y,0.12
ESTR,2023-04-10,30Y,0.12
ESTR,2023-04-11,1D,0.12
ESTR,2023-04-11,1W,0.12
ESTR,2023-04-11,2W,0.12
ESTR,2023-04-11,1M,0.12
ESTR,2023-04-11,2M,0.12
ESTR,2023-04-11,3M,0.12
ESTR,2023-04-11,6M,0.12
ESTR,2023-04-11,9M,0.12
ESTR,2023-04-11,1Y,0.12
ESTR,2023-04-11,2Y,0.12
ESTR,2023-04-11,3Y,0.12
ESTR,2023-04-11,5Y,0.12
ESTR,2023-04-11,7Y,0.12
ESTR,2023-04-11,10Y,0.12
ESTR,2023-04-11,15Y,0.12
ESTR,2023-04-11,20Y,0.12
ESTR,2023-04-11,30Y,0.12
ESTR,2023-04-12,1D,0.12
ESTR,2023-04-12,1W,0.12
ESTR,2023-04-12,2W,0.12
ESTR,2023-04-12,1M,0.12
ESTR,2023-04-12,2M,0.12
ESTR,2023-04-12,3M,0.12
ESTR,2023-04-12,6M,0.12
ESTR,2023-04-12,9M,0.12
ESTR,2023-04-12,1Y,0.12
ESTR,2023-04-12,2Y,0.12
ESTR,2023-04-12,3Y,0.12
ESTR,2023-04-12,5Y,0.12
ESTR,2023-04-12,7Y,0.12
ESTR,2023-04-12,10Y,0.12
ESTR,2023-04-12,15Y,0.12
ESTR,2023-04-12,20Y,0.12
ESTR,2023-04-12,30Y,0.12
ESTR,2023-04-13,1D,0.12
ESTR,2023-04-13,1W,0.12
ESTR,2023-04-13,2W,0.12
ESTR,2023-04-13,1M,0.12
ESTR,2023-04-13,2M,0.12
ESTR,2023-04-13,3M,0.12
ESTR,2023-04-13,6M,0.12
ESTR,2023-04-13,9M,0.12
ESTR,2023-04-13,1Y,0.12
ESTR,2023-04-13,2Y,0.12
ESTR,2023-04-13,3Y,0.12
ESTR,2023-04-13,5Y,0.12
ESTR,2023-04-13,7Y,0.12
ESTR,2023-04-13,10Y,0.12
ESTR,2023-04-13,15Y,0.12
ESTR,2023-04-13,20Y,0.12
ESTR,2023-04-13,30Y,0.12
ESTR,2023-04-14,1D,0.12
ESTR,2023-04-14,1W,0.12
ESTR,2023-04-14,2W,0.12
ESTR,2023-04-14,1M,0.12
ESTR,2023-04-14,2M,0.12
ESTR,2023-04-14,3M,0.12
ESTR,2023-04-14,6M,0.12
ESTR,2023-04-14,9M,0.12
ESTR,2023-04-14,1Y,0.12
ESTR,2023-04-14,2Y,0.12
ESTR,2023-04-14,3Y,0.12
ESTR,2023-04-14,5Y,0.12
ESTR,2023-04-14,7Y,0.12
ESTR,2023-04-14,10Y,0.12
ESTR,2023-04-14,15Y,0.12
ESTR,2023-04-14,20Y,0.12
ESTR,2023-04-14,30Y,0.12
ESTR,2023-04-15,1D,0.12
ESTR,2023-04-15,1W,0.12
ESTR,2023-04-15,2W,0.12
ESTR,2023-04-15,1M,0.12
ESTR,2023-04-15,2M,0.12
ESTR,2023-04-15,3M,0.12
ESTR,2023-04-15,6M,0.12
ESTR,2023-04-15,9M,0.12
ESTR,2023-04-15,1Y,0.12
ESTR,2023-04-15,2Y,0.12
ESTR,2023-04-15,3Y,0.12
ESTR,2023-04-15,5Y,0.12
ESTR,2023-04-15,7Y,0.12
ESTR,2023-04-15,10Y,0.12
ESTR,2023-04-15,15Y,0.12
ESTR,2023-04-15,20Y,0.12
ESTR,2023-04-15,30Y,0.12
ESTR,2023-04-16,1D,0.12
ESTR,2023-04-16,1W,0.12
ESTR,2023-04-16,2W,0.12
ESTR,2023-04-16,1M,0.12
ESTR,2023-04-16,2M,0.12
ESTR,2023-04-16,3M,0.12
ESTR,2023-04-16,6M,0.12
ESTR,2023-04-16,9M,0.12
ESTR,2023-04-16,1Y,0.12
ESTR,2023-04-16,2Y,0.12
ESTR,2023-04-16,3Y,0.12
ESTR,2023-04-16,5Y,0.12
ESTR,2023-04-16,7Y,0.12
ESTR,2023-04-16,10Y,0.12
ESTR,2023-04-16,15Y,0.12
ESTR,2023-04-16,20Y,0.12
ESTR,2023-04-16,30Y,0.12
ESTR,2023-04-17,1D,0.12
ESTR,2023-04-17,1W,0.12
ESTR,2023-04-17,2W,0.12
ESTR,2023-04-17,1M,0.12
ESTR,2023-04-17,2M,0.12
ESTR,2023-04-17,3M,0.12
ESTR,2023-04-17,6M,0.12
ESTR,2023-04-17,9M,0.12
ESTR,2023-04-17,1Y,0.12
ESTR,2023-04-17,2Y,0.12
ESTR,2023-04-17,3Y,0.12
ESTR,2023-04-17,5Y,0.12
ESTR,2023-04-17,7Y,0.12
ESTR,2023-04-17,10Y,0.12
ESTR,2023-04-17,15Y,0.12
ESTR,2023-04-17,20Y,0.12
ESTR,2023-04-17,30Y,0.12
ESTR,2023-04-18,1D,0.12
ESTR,2023-04-18,1W,0.12
ESTR,2023-04-18,2W,0.12
ESTR,2023-04-18,1M,0.12
ESTR,2023-04-18,2M,0.12
ESTR,2023-04-18,3M,0.12
ESTR,2023-04-18,6M,0.12
ESTR,2023-04-18,9M,0.12
ESTR,2023-04-18,1Y,0.12
ESTR,2023-04-18,2Y,0.12
ESTR,2023-04-18,3Y,0.12
ESTR,2023-04-18,5Y,0.12
ESTR,2023-04-18,7Y,0.12
ESTR,2023-04-18,10Y,0.12
ESTR,2023-04-18,15Y,0.12
ESTR,2023-04-18,20Y,0.12
ESTR,2023-04-18,30Y,0.12
ESTR,2023-04-19,1D,0.12
ESTR,2023-04-19,1W,0.12
ESTR,2023-04-19,2W,0.12
ESTR,2023-04-19,1M,0.12
ESTR,2023-04-19,2M,0.12
ESTR,2023-04-19,3M,0.12
ESTR,2023-04-19,6M,0.12
ESTR,2023-04-19,9M,0.12
ESTR,2023-04-19,1Y,0.12
ESTR,2023-04-19,2Y,0.12
ESTR,2023-04-19,3Y,0.12
ESTR,2023-04-19,5Y,0.12
ESTR,2023-04-19,7Y,0.12
ESTR,2023-04-19,10Y,0.12
ESTR,2023-04-19,15Y,0.12
ESTR,2023-04-19,20Y,0.12
ESTR,2023-04-19,30Y,0.12
ESTR,2023-04-20,1D,0.12
ESTR,2023-04-20,1W,0.12
ESTR,2023-04-20,2W,0.12
ESTR,2023-04-20,1M,0.12
ESTR,2023-04-20,2M,0.12
ESTR,2023-04-20,3M,0.12
ESTR,2023-04-20,6M,0.12
ESTR,2023-04-20,9M,0.12
ESTR,2023-04-20,1Y,0.12
ESTR,2023-04-20,2Y,0.12
ESTR,2023-04-20,3Y,0.12
ESTR,2023-04-20,5Y,0.12
ESTR,2023-04-20,7Y,0.12
ESTR,2023-04-20,10Y,0.12
ESTR,2023-04-20,15Y,0.12
ESTR,2023-04-20,20Y,0.12
ESTR,2023-04-20,30Y,0.12
ESTR,2023-04-21,1D,0.12
ESTR,2023-04-21,1W,0.12
ESTR,2023-04-21,2W,0.12
ESTR,2023-04-21,1M,0.12
ESTR,2023-04-21,2M,0.12
ESTR,2023-04-21,3M,0.12
ESTR,2023-04-21,6M,0.12
ESTR,2023-04-21,9M,0.12
ESTR,2023-04-21,1Y,0.12
ESTR,2023-04-21,2Y,0.12
ESTR,2023-04-21,3Y,0.12
ESTR,2023-04-21,5Y,0.12
ESTR,2023-04-21,7Y,0.12
ESTR,2023-04-21,10Y,0.12
ESTR,2023-04-21,15Y,0.12
ESTR,2023-04-21,20Y,0.12
ESTR,2023-04-21,30Y,0.12
ESTR,2023-04-22,1D,0.12
ESTR,2023-04-22,1W,0.12
ESTR,2023-04-22,2W,0.12
ESTR,2023-04-22,1M,0.12
ESTR,2023-04-22,2M,0.12
ESTR,2023-04-22,3M,0.12
ESTR,2023-04-22,6M,0.12
ESTR,2023-04-22,9M,0.12
ESTR,2023-04-22,1Y,0.12
ESTR,2023-04-22,2Y,0.12
ESTR,2023-04-22,3Y,0.12
ESTR,2023-04-22,5Y,0.12
ESTR,2023-04-22,7Y,0.12
ESTR,2023-04-22,10Y,0.12
ESTR,2023-04-22,15Y,0.12
ESTR,2023-04-22,20Y,0.12
ESTR,2023-04-22,30Y,0.12
ESTR,2023-04-23,1D,0.12
ESTR,2023-04-23,1W,0.12
ESTR,2023-04-23,2W,0.12
ESTR,2023-04-23,1M,0.12
ESTR,2023-04-23,2M,0.12
