id,contract_id,contract_type,side,seller_id,branch_code,currency,rating,notional,rate_type,interest_rate,spread_over_index,settlement_date,maturity_date,tenor_months,payment_frequency,day_count,business_day_convention,amortization_type,prepayment_allowed,prepayment_penalty,guarantee_type,profiles_json,rates_json,risk_weight,created_at
8ee190f7-b4fe-48b5-a26a-6b330e306fc6,CNT-42D3F2B431FC,BULLET,ASSET,SLR-ES-002,US,USD,BBB,2330821.0,floating,0.06829,0.0,2023-05-02,2025-06-20,26,monthly,30/360,Following,bullet,True,0.0084,none,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.0532, 0.0528, 0.052, 0.0495, 0.047]",1.0,2026-04-09T16:53:10.677604
4e6d6b67-63b6-4d0c-97ee-5affdcbc9c3b,CNT-D8E922957B48,REVOLVER,ASSET,SLR-ES-015,US,USD,A,2154023.0,floating,0.07687,0.0,2022-06-07,2026-10-14,53,annual,ACT/365,Following,constant_installment,False,0.0,personal,"[0.981132, 0.943396, 0.886792, 0.773585, 0.54717, 0.320755, 0.0]","[0.0532, 0.0528, 0.052, 0.0495, 0.047, 0.0455]",1.0,2026-04-09T16:53:10.677722
05936666-8d86-44cb-91f9-433501413010,CNT-C61EAA0F802C,REVOLVER,ASSET,SLR-US-001,US,USD,AA,7536283.0,fixed,0.06822,0.0,2022-09-27,2027-09-01,60,monthly,ACT/365,Following,linear,False,0.0,mortgage,"[0.983333, 0.95, 0.9, 0.8, 0.6, 0.4, 0.0, 0.0]","[0.0532, 0.0528, 0.052, 0.0495, 0.047, 0.0455, 0.044]",1.0,2026-04-09T16:53:10.677834
f66d4515-1407-4ed7-9cde-66b2a8686219,CNT-7509F06210D5,REVOLVER,ASSET,SLR-FR-004,US,USD,AAA,4829172.0,floating,0.06799,0.0,2024-05-22,2028-09-28,53,monthly,ACT/360,Preceding,bullet,True,0.0035,personal,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.0532, 0.0528, 0.052, 0.0495, 0.047, 0.0455]",1.0,2026-04-09T16:53:10.677898
0f18fc64-0764-4865-8f3b-3890211b9f7c,CNT-98F70D4B2F97,REVOLVER,ASSET,SLR-US-015,US,USD,B,4924425.0,floating,0.07649,0.0,2022-11-04,2023-10-30,12,semiannual,ACT/360,ModifiedFollowing,bullet,False,0.0,personal,"[1.0, 1.0, 1.0, 0.0, 0.0]","[0.0532, 0.0528, 0.052, 0.0495]",1.0,2026-04-09T16:53:10.677947
da795d8d-fcdf-4ac2-9541-d3d0977f7401,CNT-18AB1AABACBB,REVOLVER,ASSET,SLR-DE-002,US,USD,AA,6672074.0,floating,0.07171,0.0,2026-03-10,2029-06-22,40,semiannual,30/360,Preceding,linear,False,0.0,personal,"[0.975, 0.925, 0.85, 0.7, 0.4, 0.1, 0.0]","[0.0532, 0.0528, 0.052, 0.0495, 0.047, 0.0455]",1.0,2026-04-09T16:53:10.678013
20822a92-952a-45c6-b4a0-cdfa07582547,CNT-A5AD4E10A324,COMMERCIAL_LOAN,ASSET,SLR-US-014,US,USD,BBB,3412982.0,floating,0.07614,0.0,2021-12-10,2027-07-12,68,quarterly,ACT/ACT,Preceding,constant_installment,False,0.0178,commercial,"[0.985294, 0.955882, 0.911765, 0.823529, 0.647059, 0.470588, 0.117647, 0.0]","[0.0532, 0.0528, 0.052, 0.0495, 0.047, 0.0455, 0.044]",1.0,2026-04-09T16:53:10.678120
dbc832c8-eb30-4120-a727-386f1f2d3f84,CNT-C439C99598C3,REVOLVER,ASSET,SLR-ES-008,US,USD,B,5785801.0,floating,0.07577,0.0,2025-09-09,2028-11-22,39,annual,ACT/360,ModifiedFollowing,linear,False,0.0194,none,"[0.974359, 0.923077, 0.846154, 0.692308, 0.384615, 0.076923, 0.0]","[0.0532, 0.0528, 0.052, 0.0495, 0.047, 0.0455]",1.0,2026-04-09T16:53:10.678224
2583bc55-1220-448f-9e06-6d3175a0c71f,CNT-DB6A6AFDCEF0,REVOLVER,ASSET,SLR-US-001,US,USD,B,2116365.0,fixed,0.0799,0.0,2025-06-08,2027-11-25,30,monthly,ACT/360,Preceding,constant_installment,False,0.0027,personal,"[0.966667, 0.9, 0.8, 0.6, 0.2, 0.0]","[0.0532, 0.0528, 0.052, 0.0495, 0.047]",1.0,2026-04-09T16:53:10.678317
fd2a31ce-5e11-460d-8b9c-78661519101b,CNT-2D69322581D6,BULLET,ASSET,SLR-ES-005,US,USD,A,3238384.0,fixed,0.06237,0.0,2022-09-20,2026-05-02,44,quarterly,ACT/ACT,Preceding,linear,True,0.0106,none,"[0.977273, 0.931818, 0.863636, 0.727273, 0.454545, 0.181818, 0.0]","[0.0532, 0.0528, 0.052, 0.0495, 0.047, 0.0455]",1.0,2026-04-09T16:53:10.678401
