position_ref,product_type,branch,seller,currency,outstanding,origination_date,maturity_date,client_rate,risk_weight,profiles_json,rates_json
CNT-42D3F2B431FC,bullet,US,SLR-ES-002,USD,2330821.0,2023-05-02,2025-06-20,0.06829,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.0532, 0.0528, 0.052, 0.0495, 0.047]"
CNT-D8E922957B48,revolver,US,SLR-ES-015,USD,2154023.0,2022-06-07,2026-10-14,0.07687,1.0,"[0.981132, 0.943396, 0.886792, 0.773585, 0.54717, 0.320755, 0.0]","[0.0532, 0.0528, 0.052, 0.0495, 0.047, 0.0455]"
CNT-C61EAA0F802C,revolver,US,SLR-US-001,USD,7536283.0,2022-09-27,2027-09-01,0.06822,1.0,"[0.983333, 0.95, 0.9, 0.8, 0.6, 0.4, 0.0, 0.0]","[0.0532, 0.0528, 0.052, 0.0495, 0.047, 0.0455, 0.044]"
CNT-7509F06210D5,revolver,US,SLR-FR-004,USD,4829172.0,2024-05-22,2028-09-28,0.06799,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.0532, 0.0528, 0.052, 0.0495, 0.047, 0.0455]"
CNT-98F70D4B2F97,revolver,US,SLR-US-015,USD,4924425.0,2022-11-04,2023-10-30,0.07649,1.0,"[1.0, 1.0, 1.0, 0.0, 0.0]","[0.0532, 0.0528, 0.052, 0.0495]"
CNT-18AB1AABACBB,revolver,US,SLR-DE-002,USD,6672074.0,2026-03-10,2029-06-22,0.07171,1.0,"[0.975, 0.925, 0.85, 0.7, 0.4, 0.1, 0.0]","[0.0532, 0.0528, 0.052, 0.0495, 0.047, 0.0455]"
CNT-A5AD4E10A324,commercial_loan,US,SLR-US-014,USD,3412982.0,2021-12-10,2027-07-12,0.07614,1.0,"[0.985294, 0.955882, 0.911765, 0.823529, 0.647059, 0.470588, 0.117647, 0.0]","[0.0532, 0.0528, 0.052, 0.0495, 0.047, 0.0455, 0.044]"
CNT-C439C99598C3,revolver,US,SLR-ES-008,USD,5785801.0,2025-09-09,2028-11-22,0.07577,1.0,"[0.974359, 0.923077, 0.846154, 0.692308, 0.384615, 0.076923, 0.0]","[0.0532, 0.0528, 0.052, 0.0495, 0.047, 0.0455]"
CNT-DB6A6AFDCEF0,revolver,US,SLR-US-001,USD,2116365.0,2025-06-08,2027-11-25,0.0799,1.0,"[0.966667, 0.9, 0.8, 0.6, 0.2, 0.0]","[0.0532, 0.0528, 0.052, 0.0495, 0.047]"
CNT-2D69322581D6,bullet,US,SLR-ES-005,USD,3238384.0,2022-09-20,2026-05-02,0.06237,1.0,"[0.977273, 0.931818, 0.863636, 0.727273, 0.454545, 0.181818, 0.0]","[0.0532, 0.0528, 0.052, 0.0495, 0.047, 0.0455]"
CNT-17B7FA2829FC,bullet,US,SLR-ES-009,USD,3920970.0,2021-05-05,2024-10-16,0.07008,1.0,"[0.97619, 0.928571, 0.857143, 0.714286, 0.428571, 0.142857, 0.0]","[0.0532, 0.0528, 0.052, 0.0495, 0.047, 0.0455]"
CNT-BCACC5B022AC,revolver,US,SLR-DE-003,USD,7029808.0,2023-07-05,2025-01-25,0.04517,1.0,"[0.947368, 0.842105, 0.684211, 0.368421, 0.0]","[0.0532, 0.0528, 0.052, 0.0495]"
CNT-C3B9AEEF6E74,revolver,US,SLR-ES-008,USD,3909452.0,2023-05-14,2026-12-24,0.07461,1.0,"[0.977273, 0.931818, 0.863636, 0.727273, 0.454545, 0.181818, 0.0]","[0.0532, 0.0528, 0.052, 0.0495, 0.047, 0.0455]"
CNT-8FDA536C6607,bullet,US,SLR-US-008,USD,6172658.0,2026-02-15,2029-08-28,0.0748,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.0532, 0.0528, 0.052, 0.0495, 0.047, 0.0455]"
CNT-A49818D88742,bullet,US,SLR-FR-002,USD,8498305.0,2023-09-01,2024-04-28,0.07523,1.0,"[1.0, 1.0, 1.0, 0.0]","[0.0532, 0.0528, 0.052]"
CNT-988963A732E6,revolver,US,SLR-DE-009,USD,4362802.0,2025-02-27,2028-11-08,0.06821,1.0,"[0.977778, 0.933333, 0.866667, 0.733333, 0.466667, 0.2, 0.0]","[0.0532, 0.0528, 0.052, 0.0495, 0.047, 0.0455]"
CNT-485D8278BE5E,revolver,US,SLR-ES-009,USD,1805982.0,2024-04-27,2025-09-19,0.04219,1.0,"[0.941176, 0.823529, 0.647059, 0.294118, 0.0]","[0.0532, 0.0528, 0.052, 0.0495]"
CNT-78FCB95947EE,bullet,US,SLR-US-010,USD,2076894.0,2023-10-07,2028-06-12,0.07487,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.0532, 0.0528, 0.052, 0.0495, 0.047, 0.0455]"
CNT-5A1481DA0425,bullet,US,SLR-FR-002,USD,3095839.0,2022-01-01,2024-06-19,0.07101,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.0532, 0.0528, 0.052, 0.0495, 0.047]"
CNT-F8A6C77E6FDD,bullet,US,SLR-FR-004,USD,2990080.0,2023-12-12,2025-01-05,0.07886,1.0,"[0.923077, 0.769231, 0.538462, 0.076923, 0.0]","[0.0532, 0.0528, 0.052, 0.0495]"
CNT-C8E1D7049252,revolver,US,SLR-ES-009,USD,2528067.0,2024-08-18,2027-03-06,0.04826,1.0,"[0.967742, 0.903226, 0.806452, 0.612903, 0.225806, 0.0]","[0.0532, 0.0528, 0.052, 0.0495, 0.047]"
CNT-5A49D2080168,revolver,US,SLR-ES-012,USD,9460758.0,2024-10-27,2025-11-21,0.0753,1.0,"[1.0, 1.0, 1.0, 1.0, 0.0]","[0.0532, 0.0528, 0.052, 0.0495]"
CNT-5142D484DF7B,commercial_loan,US,SLR-DE-007,USD,3571978.0,2022-12-04,2026-06-16,0.06774,1.0,"[0.976744, 0.930233, 0.860465, 0.72093, 0.44186, 0.162791, 0.0]","[0.0532, 0.0528, 0.052, 0.0495, 0.047, 0.0455]"
CNT-ACF931B63D25,bullet,US,SLR-FR-001,USD,9425213.0,2021-09-26,2023-04-19,0.04635,1.0,"[1.0, 1.0, 1.0, 1.0, 0.0]","[0.0532, 0.0528, 0.052, 0.0495]"
