position_ref,product_type,branch,seller,currency,outstanding,origination_date,maturity_date,client_rate,risk_weight,profiles_json,rates_json
CNT-0247ACD546CF,pam,US,SLR-DE-003,USD,1729583.0,2022-05-25,2032-09-29,0.04558,1.0,"[0.992063, 0.97619, 0.952381, 0.904762, 0.809524, 0.714286, 0.52381, 0.333333, 0.047619, 0.0]","[0.0532, 0.0528, 0.052, 0.0495, 0.047, 0.0455, 0.044, 0.0445, 0.045]"
CNT-9C0488A6E173,mortgage,US,SLR-DE-011,GBP,4677265.0,2021-08-26,2035-10-12,0.06449,1.0,"[0.994186, 0.982558, 0.965116, 0.930233, 0.860465, 0.790698, 0.651163, 0.511628, 0.302326, 0.0]","[0.0492, 0.0488, 0.048, 0.0465, 0.044, 0.0425, 0.0415, 0.042, 0.0425]"
CNT-13189A65C1B3,pam,DE,SLR-DE-015,USD,9006414.0,2025-06-28,2028-04-13,0.07595,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.0532, 0.0528, 0.052, 0.0495, 0.047]"
CNT-C940FF102CA3,annuite,ES,SLR-ES-011,EUR,4673623.0,2023-08-25,2042-10-14,0.02404,1.0,"[0.995708, 0.987124, 0.974249, 0.948498, 0.896996, 0.845494, 0.742489, 0.639485, 0.484979, 0.227468, 0.0]","[0.029, 0.0298, 0.03, 0.0305, 0.029, 0.028, 0.0275, 0.028, 0.0285, 0.029]"
CNT-2D217985A1BC,mortgage,ES,SLR-ES-014,EUR,9354066.0,2024-12-16,2049-04-09,0.03518,1.0,"[0.996622, 0.989865, 0.97973, 0.959459, 0.918919, 0.878378, 0.797297, 0.716216, 0.594595, 0.391892, 0.189189, 0.0]","[0.029, 0.0298, 0.03, 0.0305, 0.029, 0.028, 0.0275, 0.028, 0.0285, 0.029, 0.0295]"
CNT-8E16AE273D5B,term_deposit,ES,,EUR,9380432.0,2023-08-14,2027-01-25,0.02047,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.029, 0.0298, 0.03, 0.0305, 0.029, 0.028]"
CNT-42D3F2B431FC,bullet,US,SLR-ES-002,USD,2330821.0,2023-05-02,2025-06-20,0.06829,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.0532, 0.0528, 0.052, 0.0495, 0.047]"
CNT-D9341A720EEA,commercial_loan,US,SLR-DE-002,GBP,202619.0,2022-05-17,2034-12-10,0.06861,1.0,"[0.993464, 0.980392, 0.960784, 0.921569, 0.843137, 0.764706, 0.607843, 0.45098, 0.215686, 0.0]","[0.0492, 0.0488, 0.048, 0.0465, 0.044, 0.0425, 0.0415, 0.042, 0.0425]"
CNT-1D2A2782F0F3,term_deposit,FR,,GBP,10266869.0,2025-08-05,2029-08-14,0.00797,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.0492, 0.0488, 0.048, 0.0465, 0.044, 0.0425]"
CNT-D0429462ADEA,bullet,ES,SLR-DE-015,GBP,336765.0,2025-07-24,2028-12-05,0.04297,1.0,"[0.97561, 0.926829, 0.853659, 0.707317, 0.414634, 0.121951, 0.0]","[0.0492, 0.0488, 0.048, 0.0465, 0.044, 0.0425]"
