position_ref,product_type,branch,seller,currency,outstanding,origination_date,maturity_date,client_rate,risk_weight,profiles_json,rates_json
CNT-42D3F2B431FC,bullet,US,SLR-ES-002,USD,2330821.0,2023-05-02,2025-06-20,0.06829,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.0532, 0.0528, 0.052, 0.0495, 0.047]"
CNT-07D0A0CC4274,bullet,FR,SLR-US-005,EUR,9455465.0,2025-08-18,2028-04-04,0.04485,1.0,"[0.96875, 0.90625, 0.8125, 0.625, 0.25, 0.0]","[0.029, 0.0298, 0.03, 0.0305, 0.029]"
CNT-F4A2594C05FB,bullet,US,SLR-FR-006,GBP,5549837.0,2022-09-11,2024-10-30,0.04725,1.0,"[0.961538, 0.884615, 0.769231, 0.538462, 0.076923, 0.0]","[0.0492, 0.0488, 0.048, 0.0465, 0.044]"
CNT-178277855F70,revolver,FR,SLR-DE-008,USD,1931542.0,2021-10-30,2024-09-14,0.06752,1.0,"[0.971429, 0.914286, 0.828571, 0.657143, 0.314286, 0.0]","[0.0532, 0.0528, 0.052, 0.0495, 0.047]"
CNT-576FF1595C8D,revolver,DE,SLR-ES-001,GBP,9641199.0,2024-08-05,2026-01-27,0.06873,1.0,"[0.944444, 0.833333, 0.666667, 0.333333, 0.0]","[0.0492, 0.0488, 0.048, 0.0465]"
CNT-6AC203ADB7D3,bullet,ES,SLR-ES-008,USD,2128060.0,2023-05-17,2026-03-02,0.07859,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.0532, 0.0528, 0.052, 0.0495, 0.047]"
CNT-D1F36EA869D8,bullet,US,SLR-FR-006,EUR,495654.0,2025-12-06,2026-12-31,0.06388,1.0,"[0.923077, 0.769231, 0.538462, 0.076923, 0.0]","[0.029, 0.0298, 0.03, 0.0305]"
CNT-D6AB4580A567,revolver,FR,SLR-DE-003,GBP,524340.0,2025-09-04,2026-12-28,0.06142,1.0,"[0.9375, 0.8125, 0.625, 0.25, 0.0]","[0.0492, 0.0488, 0.048, 0.0465]"
CNT-6EE33EB323E1,bullet,ES,SLR-FR-004,GBP,5511583.0,2022-06-26,2024-05-16,0.06103,1.0,"[1.0, 1.0, 1.0, 1.0, 0.0]","[0.0492, 0.0488, 0.048, 0.0465]"
CNT-AD83EAC3DD60,revolver,ES,SLR-US-004,GBP,5930597.0,2025-12-01,2028-02-19,0.06215,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.0492, 0.0488, 0.048, 0.0465, 0.044]"
CNT-8CD0114BA5F8,bullet,DE,SLR-ES-001,GBP,5463426.0,2022-06-23,2025-06-07,0.03829,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]","[0.0492, 0.0488, 0.048, 0.0465, 0.044, 0.0425]"
CNT-3E69CE047C4B,bullet,ES,SLR-US-015,EUR,4090351.0,2022-04-13,2024-07-31,0.05918,1.0,"[0.964286, 0.892857, 0.785714, 0.571429, 0.142857, 0.0]","[0.029, 0.0298, 0.03, 0.0305, 0.029]"
CNT-BEA21CE676CB,bullet,DE,SLR-DE-009,USD,4044453.0,2023-01-05,2024-10-26,0.0465,1.0,"[0.954545, 0.863636, 0.727273, 0.454545, 0.0]","[0.0532, 0.0528, 0.052, 0.0495]"
CNT-2D5D626A964B,bullet,FR,SLR-ES-010,USD,8328184.0,2022-11-10,2024-05-03,0.07581,1.0,"[0.944444, 0.833333, 0.666667, 0.333333, 0.0]","[0.0532, 0.0528, 0.052, 0.0495]"
CNT-18CDA5119C6D,bullet,DE,SLR-DE-005,USD,4853084.0,2025-03-31,2026-11-21,0.04899,1.0,"[0.95, 0.85, 0.7, 0.4, 0.0]","[0.0532, 0.0528, 0.052, 0.0495]"
CNT-F3D795EC3EB2,bullet,FR,SLR-ES-012,EUR,152182.0,2022-10-08,2023-05-06,0.04122,1.0,"[0.857143, 0.571429, 0.142857, 0.0]","[0.029, 0.0298, 0.03]"
CNT-C00D237B9197,bullet,US,SLR-ES-009,EUR,8391604.0,2022-08-12,2024-10-30,0.05225,1.0,"[0.962963, 0.888889, 0.777778, 0.555556, 0.111111, 0.0]","[0.029, 0.0298, 0.03, 0.0305, 0.029]"
CNT-D9261819462D,bullet,FR,SLR-US-001,GBP,2312031.0,2022-04-04,2023-01-29,0.03051,1.0,"[1.0, 1.0, 1.0, 0.0]","[0.0492, 0.0488, 0.048]"
CNT-E3CF5EF9B9C2,bullet,US,SLR-DE-010,GBP,53092.0,2025-12-10,2027-05-04,0.05963,1.0,"[0.941176, 0.823529, 0.647059, 0.294118, 0.0]","[0.0492, 0.0488, 0.048, 0.0465]"
CNT-9594867917FF,bullet,ES,SLR-FR-006,GBP,6993626.0,2022-02-24,2023-07-19,0.06322,1.0,"[1.0, 1.0, 1.0, 1.0, 0.0]","[0.0492, 0.0488, 0.048, 0.0465]"
CNT-90941659835A,bullet,ES,SLR-US-015,GBP,6889264.0,2026-01-21,2027-01-16,0.03026,1.0,"[1.0, 1.0, 1.0, 0.0, 0.0]","[0.0492, 0.0488, 0.048, 0.0465]"
CNT-E0AAE282139B,revolver,DE,SLR-DE-002,USD,2299279.0,2025-04-22,2028-01-07,0.05207,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.0532, 0.0528, 0.052, 0.0495, 0.047]"
CNT-76A2A7F64BCB,revolver,ES,SLR-US-002,GBP,4516097.0,2024-02-07,2025-05-02,0.05983,1.0,"[0.933333, 0.8, 0.6, 0.2, 0.0]","[0.0492, 0.0488, 0.048, 0.0465]"
CNT-537BD0775441,revolver,DE,SLR-US-012,GBP,9976397.0,2023-09-09,2025-11-27,0.0449,1.0,"[0.962963, 0.888889, 0.777778, 0.555556, 0.111111, 0.0]","[0.0492, 0.0488, 0.048, 0.0465, 0.044]"
CNT-0EF916ED0FF7,bullet,DE,SLR-FR-003,USD,6725084.0,2023-08-19,2024-10-12,0.06671,1.0,"[0.928571, 0.785714, 0.571429, 0.142857, 0.0]","[0.0532, 0.0528, 0.052, 0.0495]"
CNT-991A1E9C7768,revolver,DE,SLR-ES-010,GBP,3674903.0,2021-12-20,2024-09-05,0.06361,1.0,"[0.969697, 0.909091, 0.818182, 0.636364, 0.272727, 0.0]","[0.0492, 0.0488, 0.048, 0.0465, 0.044]"
CNT-85E870C0ED47,bullet,FR,SLR-US-006,GBP,98762.0,2021-09-05,2022-09-30,0.04556,1.0,"[0.923077, 0.769231, 0.538462, 0.076923, 0.0]","[0.0492, 0.0488, 0.048, 0.0465]"
CNT-836090C738F3,bullet,FR,SLR-ES-009,GBP,4649031.0,2024-12-02,2026-12-22,0.06963,1.0,"[0.96, 0.88, 0.76, 0.52, 0.04, 0.0]","[0.0492, 0.0488, 0.048, 0.0465, 0.044]"
CNT-B970387D70F1,revolver,US,SLR-DE-005,EUR,5983148.0,2025-04-25,2027-04-15,0.0534,1.0,"[1.0, 1.0, 1.0, 1.0, 0.0, 0.0]","[0.029, 0.0298, 0.03, 0.0305, 0.029]"
CNT-7C0F1CEA205E,revolver,FR,SLR-US-009,USD,7444998.0,2022-09-04,2024-11-22,0.0695,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.0532, 0.0528, 0.052, 0.0495, 0.047]"
CNT-98F70D4B2F97,revolver,US,SLR-US-015,USD,4924425.0,2022-11-04,2023-10-30,0.07649,1.0,"[1.0, 1.0, 1.0, 0.0, 0.0]","[0.0532, 0.0528, 0.052, 0.0495]"
CNT-310AC8B2F2CB,bullet,DE,SLR-DE-005,USD,4186895.0,2024-01-12,2024-11-07,0.07898,1.0,"[0.9, 0.7, 0.4, 0.0]","[0.0532, 0.0528, 0.052]"
CNT-5CB7D0B9E82C,revolver,ES,SLR-DE-008,GBP,7549415.0,2024-07-13,2025-11-05,0.05125,1.0,"[1.0, 1.0, 1.0, 1.0, 0.0]","[0.0492, 0.0488, 0.048, 0.0465]"
CNT-B27D14563161,bullet,FR,SLR-DE-005,GBP,8429194.0,2023-10-03,2025-04-25,0.06085,1.0,"[0.947368, 0.842105, 0.684211, 0.368421, 0.0]","[0.0492, 0.0488, 0.048, 0.0465]"
CNT-7DC32B6699B5,bullet,US,SLR-ES-014,EUR,7225305.0,2024-05-17,2024-12-13,0.03065,1.0,"[0.857143, 0.571429, 0.142857, 0.0]","[0.029, 0.0298, 0.03]"
CNT-880E8FB329AA,bullet,FR,SLR-FR-002,EUR,8848222.0,2025-12-11,2028-02-29,0.04332,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.029, 0.0298, 0.03, 0.0305, 0.029]"
CNT-0730E8CAEE20,bullet,ES,SLR-DE-008,EUR,5119570.0,2021-11-07,2023-07-30,0.03758,1.0,"[0.952381, 0.857143, 0.714286, 0.428571, 0.0]","[0.029, 0.0298, 0.03, 0.0305]"
CNT-8A9CB3B9959E,bullet,DE,SLR-FR-009,USD,8349189.0,2024-11-09,2026-07-02,0.05655,1.0,"[0.95, 0.85, 0.7, 0.4, 0.0]","[0.0532, 0.0528, 0.052, 0.0495]"
CNT-96CF6B06348D,revolver,ES,SLR-US-006,EUR,9980491.0,2021-04-20,2023-11-06,0.05729,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.029, 0.0298, 0.03, 0.0305, 0.029]"
CNT-E8FB79E3D2DE,bullet,FR,SLR-US-014,USD,1041500.0,2025-09-06,2028-06-22,0.07467,1.0,"[0.970588, 0.911765, 0.823529, 0.647059, 0.294118, 0.0]","[0.0532, 0.0528, 0.052, 0.0495, 0.047]"
CNT-DB6A6AFDCEF0,revolver,US,SLR-US-001,USD,2116365.0,2025-06-08,2027-11-25,0.0799,1.0,"[0.966667, 0.9, 0.8, 0.6, 0.2, 0.0]","[0.0532, 0.0528, 0.052, 0.0495, 0.047]"
CNT-2BC859BF051A,bullet,FR,SLR-ES-001,EUR,7999846.0,2024-07-01,2025-07-26,0.03856,1.0,"[0.923077, 0.769231, 0.538462, 0.076923, 0.0]","[0.029, 0.0298, 0.03, 0.0305]"
CNT-3294ED557BD2,bullet,FR,SLR-FR-011,EUR,3376669.0,2022-10-08,2023-05-06,0.05983,1.0,"[1.0, 1.0, 1.0, 0.0]","[0.029, 0.0298, 0.03]"
CNT-8FB4DB604A38,bullet,FR,SLR-DE-007,EUR,3710592.0,2025-11-01,2026-08-28,0.03989,1.0,"[1.0, 1.0, 1.0, 0.0]","[0.029, 0.0298, 0.03]"
CNT-778E2AB4F451,bullet,DE,SLR-DE-004,EUR,4605168.0,2025-05-25,2027-05-15,0.02253,1.0,"[0.958333, 0.875, 0.75, 0.5, 0.0, 0.0]","[0.029, 0.0298, 0.03, 0.0305, 0.029]"
CNT-86408452EDBA,bullet,US,SLR-US-010,EUR,3741363.0,2022-11-15,2024-10-05,0.03737,1.0,"[0.956522, 0.869565, 0.73913, 0.478261, 0.0]","[0.029, 0.0298, 0.03, 0.0305]"
CNT-18F90CA92827,bullet,DE,SLR-DE-001,GBP,2335723.0,2021-04-15,2023-12-01,0.04855,1.0,"[0.96875, 0.90625, 0.8125, 0.625, 0.25, 0.0]","[0.0492, 0.0488, 0.048, 0.0465, 0.044]"
CNT-BBCA49C8FC1B,revolver,ES,SLR-DE-008,EUR,8240660.0,2025-12-14,2028-11-28,0.03158,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]","[0.029, 0.0298, 0.03, 0.0305, 0.029, 0.028]"
CNT-249FC3F9F062,revolver,ES,SLR-FR-008,EUR,4663591.0,2022-12-09,2024-01-03,0.05182,1.0,"[1.0, 1.0, 1.0, 1.0, 0.0]","[0.029, 0.0298, 0.03, 0.0305]"
