period,date,payment,principal,interest,outstanding
1,2025-05-09,8333.33,0,8333.33,2000000
2,2025-06-08,8333.33,0,8333.33,2000000
3,2025-07-08,8333.33,0,8333.33,2000000
4,2025-08-07,8333.33,0,8333.33,2000000
5,2025-09-06,8333.33,0,8333.33,2000000
6,2025-10-06,8333.33,0,8333.33,2000000
7,2025-11-05,8333.33,0,8333.33,2000000
8,2025-12-05,8333.33,0,8333.33,2000000
9,2026-01-04,8333.33,0,8333.33,2000000
10,2026-02-03,8333.33,0,8333.33,2000000
11,2026-03-05,8333.33,0,8333.33,2000000
12,2026-04-04,8333.33,0,8333.33,2000000
13,2026-05-04,8333.33,0,8333.33,2000000
14,2026-06-03,8333.33,0,8333.33,2000000
15,2026-07-03,8333.33,0,8333.33,2000000
16,2026-08-02,8333.33,0,8333.33,2000000
17,2026-09-01,8333.33,0,8333.33,2000000
18,2026-10-01,8333.33,0,8333.33,2000000
19,2026-10-31,8333.33,0,8333.33,2000000
20,2026-11-30,8333.33,0,8333.33,2000000
21,2026-12-30,8333.33,0,8333.33,2000000
22,2027-01-29,8333.33,0,8333.33,2000000
23,2027-02-28,8333.33,0,8333.33,2000000
24,2027-03-30,8333.33,0,8333.33,2000000
25,2027-03-30,2000000,2000000,0,0
