date,tenor,rate
2014-01-01,1D,8.4e-05
2014-01-01,1W,-0.001893
2014-01-01,2W,-0.00075
2014-01-01,1M,0.000361
2014-01-01,2M,2e-05
2014-01-01,3M,-0.001113
2014-01-01,6M,0.001167
2014-01-01,9M,0.000713
2014-01-01,1Y,0.001259
2014-01-01,2Y,0.002773
2014-01-01,3Y,0.004113
2014-01-01,5Y,0.004772
2014-01-01,7Y,0.005741
2014-01-01,10Y,0.006498
2014-01-01,15Y,0.006901
2014-01-01,20Y,0.007773
2014-01-01,30Y,0.007365
2014-01-02,1D,0.000194
2014-01-02,1W,-0.001949
2014-01-02,2W,-0.000756
2014-01-02,1M,-0.000148
2014-01-02,2M,0.000196
2014-01-02,3M,-0.001338
2014-01-02,6M,0.001782
2014-01-02,9M,0.000916
2014-01-02,1Y,0.001117
2014-01-02,2Y,0.002898
2014-01-02,3Y,0.004543
2014-01-02,5Y,0.004539
2014-01-02,7Y,0.005522
2014-01-02,10Y,0.006617
2014-01-02,15Y,0.006892
2014-01-02,20Y,0.00782
2014-01-02,30Y,0.007033
2014-01-03,1D,-0.00028
2014-01-03,1W,-0.002724
2014-01-03,2W,-0.000585
2014-01-03,1M,-0.000635
2014-01-03,2M,-0.000496
2014-01-03,3M,-0.002072
2014-01-03,6M,0.0021
2014-01-03,9M,0.001548
2014-01-03,1Y,0.000875
2014-01-03,2Y,0.002656
2014-01-03,3Y,0.004583
2014-01-03,5Y,0.004721
2014-01-03,7Y,0.005515
2014-01-03,10Y,0.006728
2014-01-03,15Y,0.006774
2014-01-03,20Y,0.007819
2014-01-03,30Y,0.006826
2014-01-06,1D,-4.1e-05
2014-01-06,1W,-0.003598
2014-01-06,2W,0.001066
2014-01-06,1M,0.00039
2014-01-06,2M,-0.00097
2014-01-06,3M,-0.00315
2014-01-06,6M,0.002749
2014-01-06,9M,0.001822
2014-01-06,1Y,-6.2e-05
2014-01-06,2Y,0.002499
2014-01-06,3Y,0.004323
2014-01-06,5Y,0.005078
2014-01-06,7Y,0.005561
2014-01-06,10Y,0.006774
2014-01-06,15Y,0.006731
2014-01-06,20Y,0.007873
2014-01-06,30Y,0.006758
2014-01-07,1D,0.000165
2014-01-07,1W,-0.002554
2014-01-07,2W,-0.000466
2014-01-07,1M,0.000144
2014-01-07,2M,-0.00063
2014-01-07,3M,-0.002808
2014-01-07,6M,0.002059
2014-01-07,9M,0.001919
2014-01-07,1Y,2.7e-05
2014-01-07,2Y,0.002194
2014-01-07,3Y,0.004105
2014-01-07,5Y,0.005366
2014-01-07,7Y,0.005609
2014-01-07,10Y,0.006723
2014-01-07,15Y,0.006766
2014-01-07,20Y,0.007974
2014-01-07,30Y,0.006598
2014-01-08,1D,-0.000546
2014-01-08,1W,-0.003299
2014-01-08,2W,-0.002206
2014-01-08,1M,0.003057
2014-01-08,2M,-0.00194
2014-01-08,3M,-0.002467
2014-01-08,6M,0.002196
2014-01-08,9M,0.001734
2014-01-08,1Y,0.000403
2014-01-08,2Y,0.002326
2014-01-08,3Y,0.004109
2014-01-08,5Y,0.005418
2014-01-08,7Y,0.005412
2014-01-08,10Y,0.006681
2014-01-08,15Y,0.006571
2014-01-08,20Y,0.007881
2014-01-08,30Y,0.006821
2014-01-09,1D,-0.000903
2014-01-09,1W,-0.002313
2014-01-09,2W,-0.000757
2014-01-09,1M,0.002266
2014-01-09,2M,-0.001927
2014-01-09,3M,-0.00203
2014-01-09,6M,0.002345
2014-01-09,9M,0.001916
2014-01-09,1Y,0.000923
2014-01-09,2Y,0.002585
2014-01-09,3Y,0.00416
2014-01-09,5Y,0.0055
2014-01-09,7Y,0.005404
2014-01-09,10Y,0.006448
2014-01-09,15Y,0.006621
2014-01-09,20Y,0.007995
2014-01-09,30Y,0.006882
2014-01-10,1D,-0.000678
2014-01-10,1W,-0.001261
2014-01-10,2W,-0.000295
2014-01-10,1M,0.003492
2014-01-10,2M,-0.001441
2014-01-10,3M,-0.002434
2014-01-10,6M,0.001516
2014-01-10,9M,0.00201
2014-01-10,1Y,0.000904
2014-01-10,2Y,0.001842
2014-01-10,3Y,0.003708
2014-01-10,5Y,0.005951
2014-01-10,7Y,0.005802
2014-01-10,10Y,0.00616
2014-01-10,15Y,0.006815
2014-01-10,20Y,0.007784
2014-01-10,30Y,0.007238
2014-01-13,1D,0.001585
2014-01-13,1W,-0.000863
2014-01-13,2W,-0.000819
2014-01-13,1M,0.002778
2014-01-13,2M,-0.001039
2014-01-13,3M,-0.00259
2014-01-13,6M,0.001795
2014-01-13,9M,0.002104
2014-01-13,1Y,0.000605
2014-01-13,2Y,0.002426
