date,tenor,rate
2014-01-01,1Y,0.003886
2014-01-01,2Y,0.004517
2014-01-01,3Y,0.005416
2014-01-01,5Y,0.005485
2014-01-01,7Y,0.005941
2014-01-01,10Y,0.006633
2014-01-01,15Y,0.007048
2014-01-01,20Y,0.007858
2014-01-01,30Y,0.00845
2014-01-02,1Y,0.004456
2014-01-02,2Y,0.003792
2014-01-02,3Y,0.005502
2014-01-02,5Y,0.005374
2014-01-02,7Y,0.00598
2014-01-02,10Y,0.007081
2014-01-02,15Y,0.006764
2014-01-02,20Y,0.007855
2014-01-02,30Y,0.008234
2014-01-03,1Y,0.004468
2014-01-03,2Y,0.003275
2014-01-03,3Y,0.005502
2014-01-03,5Y,0.005499
2014-01-03,7Y,0.005834
2014-01-03,10Y,0.007233
2014-01-03,15Y,0.006968
2014-01-03,20Y,0.007809
2014-01-03,30Y,0.008555
2014-01-06,1Y,0.004403
2014-01-06,2Y,0.003394
2014-01-06,3Y,0.005543
2014-01-06,5Y,0.005461
2014-01-06,7Y,0.00549
2014-01-06,10Y,0.007284
2014-01-06,15Y,0.006996
2014-01-06,20Y,0.007557
2014-01-06,30Y,0.009096
2014-01-07,1Y,0.004107
2014-01-07,2Y,0.003529
2014-01-07,3Y,0.005938
2014-01-07,5Y,0.005877
2014-01-07,7Y,0.00552
2014-01-07,10Y,0.007341
2014-01-07,15Y,0.007064
2014-01-07,20Y,0.007413
2014-01-07,30Y,0.009093
2014-01-08,1Y,0.00368
2014-01-08,2Y,0.003877
2014-01-08,3Y,0.006378
2014-01-08,5Y,0.005677
2014-01-08,7Y,0.005602
2014-01-08,10Y,0.007161
2014-01-08,15Y,0.007404
2014-01-08,20Y,0.007341
2014-01-08,30Y,0.009009
2014-01-09,1Y,0.003845
2014-01-09,2Y,0.004287
2014-01-09,3Y,0.006131
2014-01-09,5Y,0.005641
2014-01-09,7Y,0.005378
2014-01-09,10Y,0.007063
2014-01-09,15Y,0.007767
2014-01-09,20Y,0.007579
