date,tenor,rate
2014-01-01,3M,0.001214
2014-01-01,6M,0.001541
2014-01-01,1Y,0.001121
2014-01-01,2Y,0.002381
2014-01-01,3Y,0.003281
2014-01-01,5Y,0.0039
2014-01-01,7Y,0.004428
2014-01-01,10Y,0.005296
2014-01-01,15Y,0.005711
2014-01-01,20Y,0.006181
2014-01-01,30Y,0.007009
2014-01-02,3M,0.000989
2014-01-02,6M,0.001539
2014-01-02,1Y,0.001355
2014-01-02,2Y,0.002397
2014-01-02,3Y,0.003388
2014-01-02,5Y,0.003999
2014-01-02,7Y,0.004431
2014-01-02,10Y,0.005302
2014-01-02,15Y,0.005718
2014-01-02,20Y,0.006092
2014-01-02,30Y,0.007034
2014-01-03,3M,0.000959
2014-01-03,6M,0.001355
2014-01-03,1Y,0.001238
2014-01-03,2Y,0.002294
2014-01-03,3Y,0.00327
2014-01-03,5Y,0.003962
2014-01-03,7Y,0.004485
2014-01-03,10Y,0.005132
2014-01-03,15Y,0.005728
2014-01-03,20Y,0.006024
2014-01-03,30Y,0.007007
2014-01-06,3M,0.001085
2014-01-06,6M,0.001602
2014-01-06,1Y,0.001375
2014-01-06,2Y,0.002345
2014-01-06,3Y,0.003278
2014-01-06,5Y,0.004061
2014-01-06,7Y,0.004426
2014-01-06,10Y,0.004986
2014-01-06,15Y,0.00586
2014-01-06,20Y,0.005978
2014-01-06,30Y,0.006806
2014-01-07,3M,0.001036
2014-01-07,6M,0.001679
2014-01-07,1Y,0.001317
2014-01-07,2Y,0.002355
2014-01-07,3Y,0.003049
2014-01-07,5Y,0.004116
2014-01-07,7Y,0.004404
2014-01-07,10Y,0.004821
2014-01-07,15Y,0.006041
2014-01-07,20Y,0.006201
2014-01-07,30Y,0.006773
2014-01-08,3M,0.001066
2014-01-08,6M,0.001371
2014-01-08,1Y,0.001538
2014-01-08,2Y,0.002477
2014-01-08,3Y,0.002853
2014-01-08,5Y,0.004111
2014-01-08,7Y,0.004548
2014-01-08,10Y,0.004723
2014-01-08,15Y,0.006109
2014-01-08,20Y,0.006271
2014-01-08,30Y,0.006771
2014-01-09,3M,0.001274
2014-01-09,6M,0.001093
2014-01-09,1Y,0.001346
2014-01-09,2Y,0.002429
2014-01-09,3Y,0.002735
2014-01-09,5Y,0.003867
2014-01-09,7Y,0.004592
2014-01-09,10Y,0.004691
2014-01-09,15Y,0.006109
2014-01-09,20Y,0.006374
2014-01-09,30Y,0.006617
2014-01-10,3M,0.001544
2014-01-10,6M,0.001211
2014-01-10,1Y,0.001406
2014-01-10,2Y,0.002614
2014-01-10,3Y,0.002997
2014-01-10,5Y,0.003618
2014-01-10,7Y,0.004697
2014-01-10,10Y,0.004686
2014-01-10,15Y,0.006175
2014-01-10,20Y,0.006439
2014-01-10,30Y,0.006421
2014-01-13,3M,0.001806
2014-01-13,6M,0.001162
2014-01-13,1Y,0.001409
2014-01-13,2Y,0.002626
2014-01-13,3Y,0.003185
2014-01-13,5Y,0.003821
2014-01-13,7Y,0.004615
2014-01-13,10Y,0.004531
2014-01-13,15Y,0.006125
2014-01-13,20Y,0.006333
2014-01-13,30Y,0.006327
2014-01-14,3M,0.001717
