date,tenor,rate
2014-01-01,1W,0.001413
2014-01-01,2W,0.001505
2014-01-01,1M,0.002193
2014-01-01,2M,0.001819
2014-01-01,3M,0.00154
2014-01-01,6M,0.003821
2014-01-01,9M,0.00257
2014-01-01,1Y,0.0031
2014-01-01,2Y,0.004278
2014-01-01,3Y,0.005388
2014-01-01,5Y,0.007202
2014-01-01,7Y,0.00793
2014-01-01,10Y,0.008399
2014-01-01,15Y,0.008933
2014-01-01,20Y,0.008803
2014-01-01,30Y,0.009094
2014-01-02,1W,0.001653
2014-01-02,2W,0.003725
2014-01-02,1M,0.001447
2014-01-02,2M,0.001283
2014-01-02,3M,0.002379
2014-01-02,6M,0.003809
2014-01-02,9M,0.002334
2014-01-02,1Y,0.003082
2014-01-02,2Y,0.004129
2014-01-02,3Y,0.005198
2014-01-02,5Y,0.007412
2014-01-02,7Y,0.007631
2014-01-02,10Y,0.008441
2014-01-02,15Y,0.009028
2014-01-02,20Y,0.008765
2014-01-02,30Y,0.008862
2014-01-03,1W,0.003083
2014-01-03,2W,0.003285
2014-01-03,1M,0.00236
2014-01-03,2M,0.001719
2014-01-03,3M,0.002339
2014-01-03,6M,0.003962
2014-01-03,9M,0.001774
2014-01-03,1Y,0.002207
2014-01-03,2Y,0.004138
2014-01-03,3Y,0.004894
2014-01-03,5Y,0.00756
2014-01-03,7Y,0.007636
2014-01-03,10Y,0.008409
2014-01-03,15Y,0.009132
2014-01-03,20Y,0.008581
2014-01-03,30Y,0.009134
2014-01-06,1W,0.002864
2014-01-06,2W,0.003828
2014-01-06,1M,0.001845
2014-01-06,2M,0.000658
2014-01-06,3M,0.001575
2014-01-06,6M,0.004232
2014-01-06,9M,0.002103
2014-01-06,1Y,0.002038
2014-01-06,2Y,0.004085
2014-01-06,3Y,0.005102
2014-01-06,5Y,0.006983
2014-01-06,7Y,0.007642
2014-01-06,10Y,0.008583
2014-01-06,15Y,0.009074
2014-01-06,20Y,0.008659
2014-01-06,30Y,0.009504
2014-01-07,1W,0.00294
2014-01-07,2W,0.004402
2014-01-07,1M,0.002156
2014-01-07,2M,0.001105
2014-01-07,3M,0.002663
2014-01-07,6M,0.004513
2014-01-07,9M,0.002092
2014-01-07,1Y,0.002571
2014-01-07,2Y,0.002982
2014-01-07,3Y,0.005095
2014-01-07,5Y,0.007467
2014-01-07,7Y,0.007668
2014-01-07,10Y,0.008564
2014-01-07,15Y,0.009071
2014-01-07,20Y,0.008781
2014-01-07,30Y,0.00992
2014-01-08,1W,0.002305
2014-01-08,2W,0.003961
2014-01-08,1M,0.000612
2014-01-08,2M,0.000321
2014-01-08,3M,0.001261
2014-01-08,6M,0.004145
2014-01-08,9M,0.001029
