date,tenor,rate
2014-01-01,1Y,0.0023
2014-01-01,2Y,0.003071
2014-01-01,3Y,0.003216
2014-01-01,5Y,0.003737
2014-01-01,7Y,0.00398
2014-01-01,10Y,0.004529
2014-01-01,15Y,0.00527
2014-01-01,20Y,0.005479
2014-01-01,30Y,0.006097
2014-01-02,1Y,0.002407
2014-01-02,2Y,0.00318
2014-01-02,3Y,0.003278
2014-01-02,5Y,0.00341
2014-01-02,7Y,0.004166
2014-01-02,10Y,0.004635
2014-01-02,15Y,0.005357
2014-01-02,20Y,0.005137
2014-01-02,30Y,0.005736
2014-01-03,1Y,0.002052
2014-01-03,2Y,0.003023
2014-01-03,3Y,0.003371
2014-01-03,5Y,0.003429
2014-01-03,7Y,0.004272
2014-01-03,10Y,0.004504
2014-01-03,15Y,0.005399
2014-01-03,20Y,0.005236
2014-01-03,30Y,0.005617
2014-01-06,1Y,0.002767
2014-01-06,2Y,0.003186
2014-01-06,3Y,0.003728
2014-01-06,5Y,0.003336
2014-01-06,7Y,0.004121
2014-01-06,10Y,0.004445
2014-01-06,15Y,0.005359
2014-01-06,20Y,0.00538
2014-01-06,30Y,0.005693
2014-01-07,1Y,0.002563
2014-01-07,2Y,0.002881
2014-01-07,3Y,0.003543
2014-01-07,5Y,0.003614
2014-01-07,7Y,0.003965
2014-01-07,10Y,0.004505
2014-01-07,15Y,0.005425
2014-01-07,20Y,0.005086
2014-01-07,30Y,0.005719
2014-01-08,1Y,0.003076
2014-01-08,2Y,0.002281
2014-01-08,3Y,0.00343
2014-01-08,5Y,0.003608
2014-01-08,7Y,0.003818
2014-01-08,10Y,0.004612
2014-01-08,15Y,0.005389
2014-01-08,20Y,0.004817
2014-01-08,30Y,0.0059
2014-01-09,1Y,0.003298
2014-01-09,2Y,0.002611
2014-01-09,3Y,0.003854
2014-01-09,5Y,0.003696
2014-01-09,7Y,0.003869
2014-01-09,10Y,0.004352
2014-01-09,15Y,0.005491
2014-01-09,20Y,0.004739
2014-01-09,30Y,0.005812
2014-01-10,1Y,0.002731
2014-01-10,2Y,0.002344
2014-01-10,3Y,0.003657
2014-01-10,5Y,0.003964
2014-01-10,7Y,0.003486
2014-01-10,10Y,0.004078
2014-01-10,15Y,0.005511
2014-01-10,20Y,0.005076
2014-01-10,30Y,0.005937
2014-01-13,1Y,0.001951
2014-01-13,2Y,0.001633
2014-01-13,3Y,0.003742
2014-01-13,5Y,0.00381
2014-01-13,7Y,0.003315
2014-01-13,10Y,0.004315
2014-01-13,15Y,0.005706
2014-01-13,20Y,0.005138
2014-01-13,30Y,0.005991
2014-01-14,1Y,0.002158
2014-01-14,2Y,0.002203
2014-01-14,3Y,0.003898
2014-01-14,5Y,0.003916
2014-01-14,7Y,0.003487
2014-01-14,10Y,0.004022
2014-01-14,15Y,0.00592
2014-01-14,20Y,0.00535
2014-01-14,30Y,0.006094
2014-01-15,1Y,0.001387
2014-01-15,2Y,0.002065
2014-01-15,3Y,0.00411
2014-01-15,5Y,0.003548
2014-01-15,7Y,0.003501
2014-01-15,10Y,0.004268
2014-01-15,15Y,0.0056
2014-01-15,20Y,0.005679
2014-01-15,30Y,0.006194
2014-01-16,1Y,0.0014
2014-01-16,2Y,0.002225
2014-01-16,3Y,0.00425
2014-01-16,5Y,0.003593
2014-01-16,7Y,0.00378
2014-01-16,10Y,0.00416
2014-01-16,15Y,0.005483
2014-01-16,20Y,0.005872
2014-01-16,30Y,0.006183
2014-01-17,1Y,0.00112
2014-01-17,2Y,0.002559
2014-01-17,3Y,0.004625
2014-01-17,5Y,0.003522
2014-01-17,7Y,0.003534
2014-01-17,10Y,0.004166
2014-01-17,15Y,0.005426
2014-01-17,20Y,0.005783
2014-01-17,30Y,0.006448
2014-01-20,1Y,0.000803
2014-01-20,2Y,0.002967
2014-01-20,3Y,0.004155
2014-01-20,5Y,0.00339
2014-01-20,7Y,0.003711
2014-01-20,10Y,0.004427
2014-01-20,15Y,0.00558
2014-01-20,20Y,0.005834
2014-01-20,30Y,0.006447
2014-01-21,1Y,0.000978
2014-01-21,2Y,0.003139
2014-01-21,3Y,0.004045
2014-01-21,5Y,0.003477
2014-01-21,7Y,0.003861
2014-01-21,10Y,0.004442
2014-01-21,15Y,0.0057
2014-01-21,20Y,0.005921
2014-01-21,30Y,0.006815
2014-01-22,1Y,0.00121
2014-01-22,2Y,0.002998
2014-01-22,3Y,0.003883
2014-01-22,5Y,0.003501
2014-01-22,7Y,0.004071
2014-01-22,10Y,0.004388
2014-01-22,15Y,0.005736
2014-01-22,20Y,0.006256
2014-01-22,30Y,0.006243
2014-01-23,1Y,0.000846
2014-01-23,2Y,0.003068
2014-01-23,3Y,0.003963
2014-01-23,5Y,0.003573
2014-01-23,7Y,0.003996
2014-01-23,10Y,0.004536
2014-01-23,15Y,0.005749
2014-01-23,20Y,0.006097
2014-01-23,30Y,0.00671
2014-01-24,1Y,0.001099
2014-01-24,2Y,0.002894
2014-01-24,3Y,0.003889
2014-01-24,5Y,0.003548
2014-01-24,7Y,0.003999
2014-01-24,10Y,0.003997
2014-01-24,15Y,0.005608
2014-01-24,20Y,0.006255
2014-01-24,30Y,0.006425
2014-01-27,1Y,0.001168
2014-01-27,2Y,0.003187
2014-01-27,3Y,0.004109
2014-01-27,5Y,0.00387
2014-01-27,7Y,0.003678
2014-01-27,10Y,0.003975
2014-01-27,15Y,0.005509
2014-01-27,20Y,0.006329
2014-01-27,30Y,0.006616
2014-01-28,1Y,0.0005
2014-01-28,2Y,0.003498
2014-01-28,3Y,0.003621
2014-01-28,5Y,0.004006
2014-01-28,7Y,0.003418
2014-01-28,10Y,0.004057
2014-01-28,15Y,0.005721
2014-01-28,20Y,0.006239
2014-01-28,30Y,0.00661
2014-01-29,1Y,0.000661
2014-01-29,2Y,0.003503
2014-01-29,3Y,0.003575
2014-01-29,5Y,0.004302
2014-01-29,7Y,0.003685
2014-01-29,10Y,0.004039
2014-01-29,15Y,0.006229
2014-01-29,20Y,0.005957
2014-01-29,30Y,0.006749
2014-01-30,1Y,0.000679
2014-01-30,2Y,0.003505
2014-01-30,3Y,0.003769
2014-01-30,5Y,0.004316
2014-01-30,7Y,0.003851
2014-01-30,10Y,0.003776
2014-01-30,15Y,0.00585
2014-01-30,20Y,0.006046
2014-01-30,30Y,0.006503
2014-01-31,1Y,0.0005
2014-01-31,2Y,0.003027
2014-01-31,3Y,0.004119
2014-01-31,5Y,0.004434
2014-01-31,7Y,0.004173
2014-01-31,10Y,0.00365
2014-01-31,15Y,0.0058
2014-01-31,20Y,0.005779
2014-01-31,30Y,0.00662
2014-02-03,1Y,0.001173
2014-02-03,2Y,0.002758
2014-02-03,3Y,0.004535
2014-02-03,5Y,0.004594
2014-02-03,7Y,0.004145
2014-02-03,10Y,0.003329
2014-02-03,15Y,0.006039
2014-02-03,20Y,0.005743
2014-02-03,30Y,0.00646
2014-02-04,1Y,0.001422
2014-02-04,2Y,0.002896
2014-02-04,3Y,0.004901
2014-02-04,5Y,0.00434
2014-02-04,7Y,0.004379
2014-02-04,10Y,0.003719
2014-02-04,15Y,0.006266
2014-02-04,20Y,0.00569
2014-02-04,30Y,0.006279
2014-02-05,1Y,0.001901
2014-02-05,2Y,0.002936
2014-02-05,3Y,0.00483
2014-02-05,5Y,0.004592
2014-02-05,7Y,0.004317
2014-02-05,10Y,0.003325
2014-02-05,15Y,0.00611
2014-02-05,20Y,0.005305
2014-02-05,30Y,0.006423
2014-02-06,1Y,0.002066
2014-02-06,2Y,0.002755
2014-02-06,3Y,0.004723
2014-02-06,5Y,0.004708
2014-02-06,7Y,0.004327
2014-02-06,10Y,0.003684
2014-02-06,15Y,0.00603
2014-02-06,20Y,0.005527
2014-02-06,30Y,0.006692
2014-02-07,1Y,0.002737
2014-02-07,2Y,0.002569
2014-02-07,3Y,0.004891
2014-02-07,5Y,0.004274
2014-02-07,7Y,0.004105
2014-02-07,10Y,0.00336
2014-02-07,15Y,0.006182
2014-02-07,20Y,0.005278
2014-02-07,30Y,0.006641
2014-02-10,1Y,0.002642
2014-02-10,2Y,0.002591
2014-02-10,3Y,0.004608
2014-02-10,5Y,0.004296
2014-02-10,7Y,0.004477
2014-02-10,10Y,0.003463
2014-02-10,15Y,0.00622
2014-02-10,20Y,0.005498
2014-02-10,30Y,0.006561
2014-02-11,1Y,0.002125
2014-02-11,2Y,0.002451
2014-02-11,3Y,0.004842
2014-02-11,5Y,0.003938
2014-02-11,7Y,0.004341
2014-02-11,10Y,0.003749
2014-02-11,15Y,0.006304
2014-02-11,20Y,0.0055
2014-02-11,30Y,0.006684
2014-02-12,1Y,0.002214
2014-02-12,2Y,0.002135
2014-02-12,3Y,0.004269
2014-02-12,5Y,0.003806
2014-02-12,7Y,0.00452
2014-02-12,10Y,0.0037
2014-02-12,15Y,0.006043
2014-02-12,20Y,0.005347
2014-02-12,30Y,0.006331
2014-02-13,1Y,0.002184
2014-02-13,2Y,0.00184
2014-02-13,3Y,0.004314
2014-02-13,5Y,0.003339
2014-02-13,7Y,0.004567
2014-02-13,10Y,0.00364
2014-02-13,15Y,0.005593
2014-02-13,20Y,0.005503
2014-02-13,30Y,0.006254
2014-02-14,1Y,0.001311
2014-02-14,2Y,0.001658
2014-02-14,3Y,0.004334
2014-02-14,5Y,0.003286
2014-02-14,7Y,0.004701
2014-02-14,10Y,0.003862
2014-02-14,15Y,0.005695
2014-02-14,20Y,0.005569
2014-02-14,30Y,0.006504
2014-02-17,1Y,0.001657
2014-02-17,2Y,0.001888
2014-02-17,3Y,0.003643
2014-02-17,5Y,0.00351
2014-02-17,7Y,0.004936
2014-02-17,10Y,0.003863
2014-02-17,15Y,0.005568
2014-02-17,20Y,0.005958
2014-02-17,30Y,0.006123
2014-02-18,1Y,0.001901
2014-02-18,2Y,0.002692
2014-02-18,3Y,0.003345
2014-02-18,5Y,0.003674
2014-02-18,7Y,0.005266
2014-02-18,10Y,0.003896
2014-02-18,15Y,0.005652
2014-02-18,20Y,0.006108
2014-02-18,30Y,0.005936
2014-02-19,1Y,0.001904
2014-02-19,2Y,0.002801
2014-02-19,3Y,0.003594
2014-02-19,5Y,0.003683
2014-02-19,7Y,0.005157
2014-02-19,10Y,0.003747
2014-02-19,15Y,0.005547
2014-02-19,20Y,0.006245
2014-02-19,30Y,0.005963
2014-02-20,1Y,0.001602
2014-02-20,2Y,0.002561
2014-02-20,3Y,0.004378
2014-02-20,5Y,0.003925
2014-02-20,7Y,0.005222
2014-02-20,10Y,0.003294
2014-02-20,15Y,0.005645
2014-02-20,20Y,0.006291
2014-02-20,30Y,0.006304
2014-02-21,1Y,0.001833
2014-02-21,2Y,0.002571
2014-02-21,3Y,0.004464
2014-02-21,5Y,0.003534
2014-02-21,7Y,0.005362
2014-02-21,10Y,0.003457
2014-02-21,15Y,0.005471
2014-02-21,20Y,0.006503
2014-02-21,30Y,0.006648
2014-02-24,1Y,0.001318
2014-02-24,2Y,0.002403
2014-02-24,3Y,0.004477
2014-02-24,5Y,0.003599
2014-02-24,7Y,0.005209
2014-02-24,10Y,0.003351
2014-02-24,15Y,0.005879
2014-02-24,20Y,0.006646
2014-02-24,30Y,0.006371
2014-02-25,1Y,0.00086
2014-02-25,2Y,0.002955
2014-02-25,3Y,0.004696
2014-02-25,5Y,0.003984
2014-02-25,7Y,0.005306
2014-02-25,10Y,0.003271
2014-02-25,15Y,0.005882
2014-02-25,20Y,0.006136
2014-02-25,30Y,0.006198
2014-02-26,1Y,0.000949
2014-02-26,2Y,0.003115
2014-02-26,3Y,0.004385
2014-02-26,5Y,0.003954
2014-02-26,7Y,0.005326
2014-02-26,10Y,0.003446
2014-02-26,15Y,0.005961
2014-02-26,20Y,0.006136
2014-02-26,30Y,0.006123
2014-02-27,1Y,0.001371
2014-02-27,2Y,0.003121
2014-02-27,3Y,0.004067
2014-02-27,5Y,0.003825
2014-02-27,7Y,0.005252
2014-02-27,10Y,0.003511
2014-02-27,15Y,0.005938
2014-02-27,20Y,0.006095
2014-02-27,30Y,0.006153
2014-02-28,1Y,0.001394
2014-02-28,2Y,0.002735
2014-02-28,3Y,0.004145
2014-02-28,5Y,0.004041
2014-02-28,7Y,0.005271
2014-02-28,10Y,0.003556
2014-02-28,15Y,0.005974
2014-02-28,20Y,0.005863
2014-02-28,30Y,0.005766
2014-03-03,1Y,0.001495
2014-03-03,2Y,0.002477
2014-03-03,3Y,0.004315
2014-03-03,5Y,0.003818
2014-03-03,7Y,0.004679
2014-03-03,10Y,0.003432
2014-03-03,15Y,0.006239
2014-03-03,20Y,0.005768
2014-03-03,30Y,0.005517
2014-03-04,1Y,0.001258
2014-03-04,2Y,0.00267
2014-03-04,3Y,0.004399
2014-03-04,5Y,0.00386
2014-03-04,7Y,0.004949
2014-03-04,10Y,0.003662
2014-03-04,15Y,0.006162
2014-03-04,20Y,0.005872
2014-03-04,30Y,0.005886
2014-03-05,1Y,0.001732
2014-03-05,2Y,0.003
2014-03-05,3Y,0.004003
2014-03-05,5Y,0.003834
2014-03-05,7Y,0.005049
2014-03-05,10Y,0.003676
2014-03-05,15Y,0.006308
2014-03-05,20Y,0.005969
2014-03-05,30Y,0.00608
2014-03-06,1Y,0.001699
2014-03-06,2Y,0.003765
2014-03-06,3Y,0.004331
2014-03-06,5Y,0.003796
2014-03-06,7Y,0.005014
2014-03-06,10Y,0.004267
2014-03-06,15Y,0.006162
2014-03-06,20Y,0.006115
2014-03-06,30Y,0.006275
2014-03-07,1Y,0.001756
2014-03-07,2Y,0.003361
2014-03-07,3Y,0.004321
2014-03-07,5Y,0.003876
2014-03-07,7Y,0.005189
2014-03-07,10Y,0.004455
2014-03-07,15Y,0.006099
2014-03-07,20Y,0.006247
2014-03-07,30Y,0.006369
2014-03-10,1Y,0.00189
2014-03-10,2Y,0.003355
2014-03-10,3Y,0.004185
2014-03-10,5Y,0.004019
2014-03-10,7Y,0.004919
2014-03-10,10Y,0.004351
2014-03-10,15Y,0.006041
2014-03-10,20Y,0.00591
2014-03-10,30Y,0.006265
2014-03-11,1Y,0.001128
2014-03-11,2Y,0.003126
2014-03-11,3Y,0.0043
2014-03-11,5Y,0.004126
2014-03-11,7Y,0.004864
2014-03-11,10Y,0.00433
2014-03-11,15Y,0.0057
2014-03-11,20Y,0.006251
2014-03-11,30Y,0.006355
2014-03-12,1Y,0.00166
2014-03-12,2Y,0.002854
2014-03-12,3Y,0.004181
2014-03-12,5Y,0.003748
2014-03-12,7Y,0.004981
2014-03-12,10Y,0.004544
2014-03-12,15Y,0.005286
2014-03-12,20Y,0.006193
2014-03-12,30Y,0.006462
2014-03-13,1Y,0.001012
2014-03-13,2Y,0.002317
2014-03-13,3Y,0.003806
2014-03-13,5Y,0.003634
2014-03-13,7Y,0.004653
2014-03-13,10Y,0.004563
2014-03-13,15Y,0.005331
2014-03-13,20Y,0.006276
2014-03-13,30Y,0.006576
2014-03-14,1Y,0.001716
2014-03-14,2Y,0.002715
2014-03-14,3Y,0.003383
2014-03-14,5Y,0.003553
2014-03-14,7Y,0.004416
2014-03-14,10Y,0.004358
2014-03-14,15Y,0.005306
2014-03-14,20Y,0.006228
2014-03-14,30Y,0.006639
2014-03-17,1Y,0.001137
2014-03-17,2Y,0.002367
2014-03-17,3Y,0.00338
2014-03-17,5Y,0.003542
2014-03-17,7Y,0.004349
2014-03-17,10Y,0.004375
2014-03-17,15Y,0.005152
2014-03-17,20Y,0.006327
2014-03-17,30Y,0.006676
2014-03-18,1Y,0.001196
2014-03-18,2Y,0.002211
2014-03-18,3Y,0.003328
2014-03-18,5Y,0.003025
2014-03-18,7Y,0.00415
2014-03-18,10Y,0.004407
2014-03-18,15Y,0.004856
2014-03-18,20Y,0.006314
2014-03-18,30Y,0.006665
2014-03-19,1Y,0.000735
2014-03-19,2Y,0.002193
2014-03-19,3Y,0.003239
2014-03-19,5Y,0.003181
2014-03-19,7Y,0.004284
2014-03-19,10Y,0.004422
2014-03-19,15Y,0.004711
2014-03-19,20Y,0.006234
2014-03-19,30Y,0.006612
2014-03-20,1Y,0.001152
2014-03-20,2Y,0.002339
2014-03-20,3Y,0.003034
2014-03-20,5Y,0.002963
2014-03-20,7Y,0.004211
2014-03-20,10Y,0.004296
2014-03-20,15Y,0.004525
2014-03-20,20Y,0.006165
2014-03-20,30Y,0.006477
2014-03-21,1Y,0.001288
2014-03-21,2Y,0.002544
2014-03-21,3Y,0.002935
2014-03-21,5Y,0.003496
2014-03-21,7Y,0.004154
2014-03-21,10Y,0.004547
2014-03-21,15Y,0.004599
2014-03-21,20Y,0.006348
2014-03-21,30Y,0.005976
2014-03-24,1Y,0.001073
2014-03-24,2Y,0.002654
2014-03-24,3Y,0.003151
2014-03-24,5Y,0.003997
2014-03-24,7Y,0.004233
2014-03-24,10Y,0.00482
2014-03-24,15Y,0.0048
2014-03-24,20Y,0.006489
2014-03-24,30Y,0.006091
2014-03-25,1Y,0.00111
2014-03-25,2Y,0.002832
2014-03-25,3Y,0.002846
2014-03-25,5Y,0.004229
2014-03-25,7Y,0.004036
2014-03-25,10Y,0.004864
2014-03-25,15Y,0.005255
2014-03-25,20Y,0.006381
2014-03-25,30Y,0.006096
2014-03-26,1Y,0.001672
2014-03-26,2Y,0.002854
2014-03-26,3Y,0.002643
2014-03-26,5Y,0.004261
2014-03-26,7Y,0.004172
2014-03-26,10Y,0.004998
2014-03-26,15Y,0.005099
2014-03-26,20Y,0.006677
2014-03-26,30Y,0.006431
2014-03-27,1Y,0.001736
2014-03-27,2Y,0.002947
2014-03-27,3Y,0.002568
2014-03-27,5Y,0.004521
2014-03-27,7Y,0.004042
2014-03-27,10Y,0.005115
2014-03-27,15Y,0.005013
2014-03-27,20Y,0.006463
2014-03-27,30Y,0.006552
2014-03-28,1Y,0.002323
2014-03-28,2Y,0.00295
2014-03-28,3Y,0.002424
2014-03-28,5Y,0.004643
2014-03-28,7Y,0.004052
2014-03-28,10Y,0.005151
2014-03-28,15Y,0.005333
2014-03-28,20Y,0.006629
2014-03-28,30Y,0.006417
2014-03-31,1Y,0.00325
2014-03-31,2Y,0.002958
2014-03-31,3Y,0.002731
2014-03-31,5Y,0.004468
2014-03-31,7Y,0.004066
2014-03-31,10Y,0.004776
2014-03-31,15Y,0.005688
2014-03-31,20Y,0.006834
2014-03-31,30Y,0.006158
2014-04-01,1Y,0.002596
2014-04-01,2Y,0.002477
2014-04-01,3Y,0.003132
2014-04-01,5Y,0.00434
2014-04-01,7Y,0.004072
2014-04-01,10Y,0.004712
2014-04-01,15Y,0.005633
2014-04-01,20Y,0.006531
2014-04-01,30Y,0.00616
2014-04-02,1Y,0.002014
2014-04-02,2Y,0.002495
2014-04-02,3Y,0.003244
2014-04-02,5Y,0.004406
2014-04-02,7Y,0.004044
2014-04-02,10Y,0.004534
2014-04-02,15Y,0.005638
2014-04-02,20Y,0.006369
2014-04-02,30Y,0.006471
2014-04-03,1Y,0.002355
2014-04-03,2Y,0.002498
2014-04-03,3Y,0.003115
2014-04-03,5Y,0.004234
2014-04-03,7Y,0.003877
2014-04-03,10Y,0.004479
2014-04-03,15Y,0.00567
2014-04-03,20Y,0.00642
2014-04-03,30Y,0.006561
2014-04-04,1Y,0.003204
2014-04-04,2Y,0.002325
2014-04-04,3Y,0.00314
2014-04-04,5Y,0.004774
2014-04-04,7Y,0.003536
2014-04-04,10Y,0.004395
2014-04-04,15Y,0.005675
2014-04-04,20Y,0.006394
2014-04-04,30Y,0.006613
2014-04-07,1Y,0.003062
2014-04-07,2Y,0.002487
2014-04-07,3Y,0.003178
2014-04-07,5Y,0.004874
2014-04-07,7Y,0.003217
2014-04-07,10Y,0.004247
2014-04-07,15Y,0.005649
2014-04-07,20Y,0.006138
2014-04-07,30Y,0.006375
2014-04-08,1Y,0.003274
2014-04-08,2Y,0.002331
2014-04-08,3Y,0.003386
2014-04-08,5Y,0.004959
2014-04-08,7Y,0.003357
2014-04-08,10Y,0.004385
2014-04-08,15Y,0.005601
2014-04-08,20Y,0.00582
2014-04-08,30Y,0.006352
2014-04-09,1Y,0.003402
2014-04-09,2Y,0.002222
2014-04-09,3Y,0.003359
2014-04-09,5Y,0.005039
2014-04-09,7Y,0.00325
2014-04-09,10Y,0.00454
2014-04-09,15Y,0.00595
2014-04-09,20Y,0.005695
2014-04-09,30Y,0.006367
2014-04-10,1Y,0.003279
2014-04-10,2Y,0.002741
2014-04-10,3Y,0.003458
2014-04-10,5Y,0.005143
2014-04-10,7Y,0.003189
2014-04-10,10Y,0.004552
2014-04-10,15Y,0.005901
2014-04-10,20Y,0.005335
2014-04-10,30Y,0.006639
2014-04-11,1Y,0.003584
2014-04-11,2Y,0.002238
2014-04-11,3Y,0.003679
2014-04-11,5Y,0.005035
2014-04-11,7Y,0.00336
2014-04-11,10Y,0.004641
2014-04-11,15Y,0.005557
2014-04-11,20Y,0.005313
2014-04-11,30Y,0.006903
2014-04-14,1Y,0.003281
2014-04-14,2Y,0.00199
2014-04-14,3Y,0.003257
2014-04-14,5Y,0.004719
2014-04-14,7Y,0.003499
2014-04-14,10Y,0.004992
2014-04-14,15Y,0.005626
2014-04-14,20Y,0.005389
2014-04-14,30Y,0.007302
2014-04-15,1Y,0.003019
2014-04-15,2Y,0.001862
2014-04-15,3Y,0.003427
2014-04-15,5Y,0.004776
2014-04-15,7Y,0.003356
2014-04-15,10Y,0.004743
2014-04-15,15Y,0.00566
2014-04-15,20Y,0.005456
2014-04-15,30Y,0.00696
2014-04-16,1Y,0.002903
2014-04-16,2Y,0.001782
2014-04-16,3Y,0.003566
2014-04-16,5Y,0.004697
2014-04-16,7Y,0.003409
2014-04-16,10Y,0.004675
2014-04-16,15Y,0.005844
2014-04-16,20Y,0.005747
2014-04-16,30Y,0.006831
2014-04-17,1Y,0.003214
2014-04-17,2Y,0.001644
2014-04-17,3Y,0.003578
2014-04-17,5Y,0.004796
2014-04-17,7Y,0.003778
2014-04-17,10Y,0.004606
2014-04-17,15Y,0.00579
2014-04-17,20Y,0.005779
2014-04-17,30Y,0.006484
2014-04-18,1Y,0.003171
2014-04-18,2Y,0.00154
2014-04-18,3Y,0.00368
2014-04-18,5Y,0.004513
2014-04-18,7Y,0.003424
