date,tenor,rate
2014-01-01,3M,0.000941
2014-01-01,6M,0.000957
2014-01-01,1Y,0.001036
2014-01-01,2Y,0.001717
2014-01-01,3Y,0.00235
2014-01-01,5Y,0.002992
2014-01-01,7Y,0.003468
2014-01-01,10Y,0.003956
2014-01-01,15Y,0.004269
2014-01-01,20Y,0.00456
2014-01-01,30Y,0.005379
2014-01-02,3M,0.00083
2014-01-02,6M,0.000826
2014-01-02,1Y,0.000747
2014-01-02,2Y,0.001812
2014-01-02,3Y,0.002328
2014-01-02,5Y,0.003124
2014-01-02,7Y,0.003431
2014-01-02,10Y,0.003922
2014-01-02,15Y,0.004152
2014-01-02,20Y,0.004648
2014-01-02,30Y,0.005511
2014-01-03,3M,0.001123
2014-01-03,6M,0.000895
2014-01-03,1Y,0.000678
2014-01-03,2Y,0.001961
2014-01-03,3Y,0.00208
2014-01-03,5Y,0.003072
2014-01-03,7Y,0.003443
2014-01-03,10Y,0.003989
2014-01-03,15Y,0.00419
2014-01-03,20Y,0.004705
2014-01-03,30Y,0.005576
2014-01-06,3M,0.001165
2014-01-06,6M,0.000837
2014-01-06,1Y,0.000699
2014-01-06,2Y,0.001825
2014-01-06,3Y,0.001972
2014-01-06,5Y,0.003115
2014-01-06,7Y,0.003503
2014-01-06,10Y,0.003973
2014-01-06,15Y,0.004061
2014-01-06,20Y,0.004738
2014-01-06,30Y,0.00541
2014-01-07,3M,0.001017
2014-01-07,6M,0.000736
2014-01-07,1Y,0.000684
2014-01-07,2Y,0.001793
2014-01-07,3Y,0.001797
2014-01-07,5Y,0.003221
2014-01-07,7Y,0.00368
2014-01-07,10Y,0.003766
2014-01-07,15Y,0.004066
2014-01-07,20Y,0.004653
2014-01-07,30Y,0.00527
2014-01-08,3M,0.001032
2014-01-08,6M,0.000912
2014-01-08,1Y,0.000764
2014-01-08,2Y,0.001759
2014-01-08,3Y,0.001875
2014-01-08,5Y,0.003333
2014-01-08,7Y,0.003559
2014-01-08,10Y,0.003816
2014-01-08,15Y,0.003959
2014-01-08,20Y,0.004785
2014-01-08,30Y,0.005258
2014-01-09,3M,0.000995
2014-01-09,6M,0.000943
2014-01-09,1Y,0.000873
2014-01-09,2Y,0.002043
2014-01-09,3Y,0.001927
2014-01-09,5Y,0.003208
2014-01-09,7Y,0.00354
2014-01-09,10Y,0.003864
2014-01-09,15Y,0.004013
2014-01-09,20Y,0.004672
2014-01-09,30Y,0.005367
2014-01-10,3M,0.00093
2014-01-10,6M,0.000881
2014-01-10,1Y,0.000877
2014-01-10,2Y,0.002071
2014-01-10,3Y,0.001881
2014-01-10,5Y,0.003298
2014-01-10,7Y,0.003436
2014-01-10,10Y,0.004074
2014-01-10,15Y,0.004106
2014-01-10,20Y,0.004524
2014-01-10,30Y,0.005325
2014-01-13,3M,0.00108
2014-01-13,6M,0.000759
2014-01-13,1Y,0.000957
2014-01-13,2Y,0.002225
2014-01-13,3Y,0.001808
2014-01-13,5Y,0.003264
2014-01-13,7Y,0.003547
2014-01-13,10Y,0.004146
2014-01-13,15Y,0.004205
2014-01-13,20Y,0.004639
2014-01-13,30Y,0.005201
2014-01-14,3M,0.001241
2014-01-14,6M,0.00083
2014-01-14,1Y,0.000996
2014-01-14,2Y,0.00242
2014-01-14,3Y,0.002053
2014-01-14,5Y,0.003295
2014-01-14,7Y,0.003682
2014-01-14,10Y,0.004033
2014-01-14,15Y,0.004149
2014-01-14,20Y,0.004858
2014-01-14,30Y,0.005021
2014-01-15,3M,0.001305
2014-01-15,6M,0.000987
2014-01-15,1Y,0.001063
2014-01-15,2Y,0.002613
2014-01-15,3Y,0.002054
2014-01-15,5Y,0.003346
2014-01-15,7Y,0.003664
2014-01-15,10Y,0.003844
2014-01-15,15Y,0.004207
2014-01-15,20Y,0.004923
2014-01-15,30Y,0.005015
2014-01-16,3M,0.001419
2014-01-16,6M,0.001216
2014-01-16,1Y,0.000879
2014-01-16,2Y,0.002898
