date,tenor,rate
2014-01-01,1Y,-0.000677
2014-01-01,2Y,-0.001521
2014-01-01,3Y,-0.00131
2014-01-01,5Y,-0.001517
2014-01-01,7Y,-0.001727
2014-01-01,10Y,-0.001696
2014-01-01,15Y,-0.00201
2014-01-01,20Y,-0.001752
2014-01-01,30Y,-0.002023
2014-01-02,1Y,-0.000948
2014-01-02,2Y,-0.001295
2014-01-02,3Y,-0.001432
2014-01-02,5Y,-0.001321
2014-01-02,7Y,-0.001665
2014-01-02,10Y,-0.001717
2014-01-02,15Y,-0.002178
2014-01-02,20Y,-0.001746
2014-01-02,30Y,-0.001973
2014-01-03,1Y,-0.001333
2014-01-03,2Y,-0.001338
2014-01-03,3Y,-0.001319
2014-01-03,5Y,-0.001273
2014-01-03,7Y,-0.001312
2014-01-03,10Y,-0.00171
2014-01-03,15Y,-0.002475
2014-01-03,20Y,-0.001886
2014-01-03,30Y,-0.002134
2014-01-06,1Y,-0.001139
2014-01-06,2Y,-0.001555
2014-01-06,3Y,-0.001327
2014-01-06,5Y,-0.001241
2014-01-06,7Y,-0.001308
2014-01-06,10Y,-0.001882
2014-01-06,15Y,-0.002511
2014-01-06,20Y,-0.002091
2014-01-06,30Y,-0.002145
2014-01-07,1Y,-0.001196
2014-01-07,2Y,-0.001184
2014-01-07,3Y,-0.00095
2014-01-07,5Y,-0.00102
2014-01-07,7Y,-0.001012
2014-01-07,10Y,-0.001748
2014-01-07,15Y,-0.002406
2014-01-07,20Y,-0.002305
2014-01-07,30Y,-0.002247
2014-01-08,1Y,-0.001822
2014-01-08,2Y,-0.000948
2014-01-08,3Y,-0.001211
2014-01-08,5Y,-0.001222
2014-01-08,7Y,-0.001085
2014-01-08,10Y,-0.001467
2014-01-08,15Y,-0.002633
2014-01-08,20Y,-0.00206
2014-01-08,30Y,-0.00248
2014-01-09,1Y,-0.00175
2014-01-09,2Y,-0.001219
2014-01-09,3Y,-0.001144
2014-01-09,5Y,-0.001215
2014-01-09,7Y,-0.001392
2014-01-09,10Y,-0.001298
2014-01-09,15Y,-0.002579
2014-01-09,20Y,-0.002139
2014-01-09,30Y,-0.002185
2014-01-10,1Y,-0.001741
2014-01-10,2Y,-0.00145
2014-01-10,3Y,-0.001225
2014-01-10,5Y,-0.001525
2014-01-10,7Y,-0.001487
2014-01-10,10Y,-0.001041
2014-01-10,15Y,-0.002137
2014-01-10,20Y,-0.001937
2014-01-10,30Y,-0.00215
2014-01-13,1Y,-0.001411
2014-01-13,2Y,-0.0015
2014-01-13,3Y,-0.001463
2014-01-13,5Y,-0.001687
2014-01-13,7Y,-0.001328
2014-01-13,10Y,-0.000971
2014-01-13,15Y,-0.002104
2014-01-13,20Y,-0.002007
2014-01-13,30Y,-0.002212
2014-01-14,1Y,-0.00126
2014-01-14,2Y,-0.001151
2014-01-14,3Y,-0.001532
2014-01-14,5Y,-0.001717
2014-01-14,7Y,-0.001276
2014-01-14,10Y,-0.001134
2014-01-14,15Y,-0.002176
2014-01-14,20Y,-0.002289
2014-01-14,30Y,-0.002209
2014-01-15,1Y,-0.001302
2014-01-15,2Y,-0.000882
2014-01-15,3Y,-0.001397
2014-01-15,5Y,-0.001559
2014-01-15,7Y,-0.001181
2014-01-15,10Y,-0.001048
2014-01-15,15Y,-0.002453
2014-01-15,20Y,-0.002316
2014-01-15,30Y,-0.002363
2014-01-16,1Y,-0.001292
2014-01-16,2Y,-0.000916
2014-01-16,3Y,-0.001682
2014-01-16,5Y,-0.001327
2014-01-16,7Y,-0.001271
2014-01-16,10Y,-0.001158
2014-01-16,15Y,-0.00242
2014-01-16,20Y,-0.002317
2014-01-16,30Y,-0.002127
2014-01-17,1Y,-0.001354
2014-01-17,2Y,-0.000976
2014-01-17,3Y,-0.001522
2014-01-17,5Y,-0.001419
2014-01-17,7Y,-0.000903
2014-01-17,10Y,-0.001201
2014-01-17,15Y,-0.002179
2014-01-17,20Y,-0.002268
2014-01-17,30Y,-0.002162
2014-01-20,1Y,-0.001548
2014-01-20,2Y,-0.001242
2014-01-20,3Y,-0.001411
2014-01-20,5Y,-0.001161
2014-01-20,7Y,-0.000964
2014-01-20,10Y,-0.001505
2014-01-20,15Y,-0.002409
2014-01-20,20Y,-0.002464
2014-01-20,30Y,-0.002094
2014-01-21,1Y,-0.001588
2014-01-21,2Y,-0.001039
2014-01-21,3Y,-0.001139
2014-01-21,5Y,-0.001281
2014-01-21,7Y,-0.000545
2014-01-21,10Y,-0.00131
2014-01-21,15Y,-0.002443
2014-01-21,20Y,-0.002108
2014-01-21,30Y,-0.002549
2014-01-22,1Y,-0.001504
2014-01-22,2Y,-0.001266
2014-01-22,3Y,-0.001053
2014-01-22,5Y,-0.0013
2014-01-22,7Y,-0.000611
2014-01-22,10Y,-0.001195
2014-01-22,15Y,-0.002313
2014-01-22,20Y,-0.002107
2014-01-22,30Y,-0.002769
2014-01-23,1Y,-0.00198
2014-01-23,2Y,-0.001524
2014-01-23,3Y,-0.001066
2014-01-23,5Y,-0.001168
2014-01-23,7Y,-0.000616
2014-01-23,10Y,-0.001097
2014-01-23,15Y,-0.002093
2014-01-23,20Y,-0.002086
2014-01-23,30Y,-0.002683
2014-01-24,1Y,-0.002149
2014-01-24,2Y,-0.001905
2014-01-24,3Y,-0.001307
2014-01-24,5Y,-0.000862
2014-01-24,7Y,-0.00064
2014-01-24,10Y,-0.001126
2014-01-24,15Y,-0.001879
2014-01-24,20Y,-0.001862
2014-01-24,30Y,-0.002963
2014-01-27,1Y,-0.001914
2014-01-27,2Y,-0.001566
2014-01-27,3Y,-0.00094
2014-01-27,5Y,-0.000694
2014-01-27,7Y,-0.000578
2014-01-27,10Y,-0.001423
2014-01-27,15Y,-0.001653
