date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
01-2022,1.0,0.987542,0.975134,0.962778,0.950474,0.938222,0.926021,0.913873,0.901778,0.889735,0.877745,0.865809,0.853926,0.842097,0.830322,0.818602,0.806936,0.795325,0.783769,0.772268,0.760823,0.749434,0.738102,0.726826,0.715607,0.704445,0.693341,0.682294,0.671306,0.660376,0.649505,0.638693,0.62794,0.617248,0.606616,0.596044,0.585533,0.575083,0.564695,0.55437,0.544106,0.533906,0.523769,0.513696,0.503686,0.493742,0.483862,0.474048,0.4643,0.454619,0.445004,0.435457,0.425977,0.416566,0.407224,0.397952,0.38875,0.379618,0.370558,0.361569,0.352653,0.34381,0.335041,0.326346,0.317726,0.309182,0.300715,0.292325,0.284012,0.275779,0.267625,0.259551,0.251559,0.243649,0.235822,0.228079,0.220421,0.212849,0.205364,0.197967,0.190659,0.183442,0.176316,0.169284,0.162345,0.155503,0.148757,0.14211,0.135563,0.129117,0.122775,0.116539,0.11041,0.10439,0.098481,0.092686,0.087008,0.081447,0.076009,0.070694,0.065507,0.060452,0.05553,0.050748,0.046108,0.041616,0.037278,0.033098,0.029085,0.025245,0.021587,0.018122,0.014861,0.01182,0.009015,0.006471,0.004221,0.002311,0.000825,0.0
02-2022,1.0,0.987566,0.975182,0.962849,0.950568,0.938338,0.926159,0.914033,0.901959,0.889937,0.877967,0.866051,0.854188,0.842378,0.830622,0.81892,0.807272,0.795678,0.784139,0.772655,0.761227,0.749854,0.738537,0.727276,0.716071,0.704924,0.693833,0.6828,0.671825,0.660908,0.650049,0.639248,0.628507,0.617826,0.607204,0.596642,0.586141,0.575701,0.565322,0.555004,0.544749,0.534556,0.524426,0.51436,0.504357,0.494418,0.484544,0.474735,0.464992,0.455314,0.445703,0.436159,0.426683,0.417275,0.407935,0.398664,0.389463,0.380332,0.371272,0.362283,0.353367,0.344523,0.335752,0.327056,0.318434,0.309887,0.301416,0.293023,0.284706,0.276469,0.26831,0.260231,0.252233,0.244317,0.236483,0.228733,0.221068,0.213488,0.205995,0.19859,0.191273,0.184046,0.176911,0.169868,0.162919,0.156065,0.149308,0.142648,0.136089,0.129631,0.123276,0.117026,0.110883,0.104848,0.098925,0.093115,0.087421,0.081845,0.07639,0.071059,0.065855,0.060781,0.055843,0.051042,0.046384,0.041874,0.037516,0.033318,0.029285,0.025426,0.021749,0.018264,0.014983,0.011922,0.009098,0.006535,0.004266,0.002338,0.000837,0.0
03-2022,1.0,0.987514,0.97508,0.962698,0.950368,0.93809,0.925864,0.913692,0.901572,0.889506,0.877493,0.865534,0.853629,0.841778,0.829982,0.81824,0.806554,0.794923,0.783348,0.771828,0.760365,0.748958,0.737608,0.726314,0.715079,0.703901,0.692781,0.681719,0.670716,0.659772,0.648887,0.638061,0.627296,0.616591,0.605947,0.595364,0.584842,0.574382,0.563984,0.553649,0.543376,0.533167,0.523022,0.512941,0.502925,0.492974,0.483088,0.473268,0.463515,0.453829,0.44421,0.434659,0.425176,0.415762,0.406418,0.397144,0.38794,0.378808,0.369747,0.360759,0.351843,0.343001,0.334234,0.325541,0.316924,0.308383,0.299919,0.291532,0.283225,0.274996,0.266848,0.25878,0.250794,0.242891,0.235071,0.227336,0.219686,0.212123,0.204648,0.197261,0.189963,0.182757,0.175643,0.168622,0.161695,0.154865,0.148133,0.141499,0.134966,0.128535,0.122209,0.115988,0.109874,0.103871,0.097979,0.092201,0.08654,0.080998,0.075578,0.070282,0.065115,0.060079,0.055177,0.050415,0.045796,0.041325,0.037008,0.032851,0.028859,0.025041,0.021405,0.017962,0.014724,0.011704,0.008922,0.0064,0.00417,0.00228,0.000812,0.0
04-2022,1.0,0.986837,0.973737,0.960701,0.947728,0.93482,0.921977,0.909198,0.896484,0.883835,0.871251,0.858733,0.846281,0.833895,0.821576,0.809323,0.797138,0.785019,0.772968,0.760985,0.74907,0.737224,0.725446,0.713738,0.702098,0.690529,0.679029,0.667599,0.656241,0.644953,0.633736,0.622591,0.611518,0.600518,0.58959,0.578735,0.567954,0.557246,0.546613,0.536054,0.52557,0.515162,0.504829,0.494573,0.484393,0.47429,0.464265,0.454318,0.444449,0.43466,0.42495,0.415319,0.405769,0.3963,0.386913,0.377607,0.368384,0.359244,0.350188,0.341216,0.332329,0.323528,0.314812,0.306183,0.297642,0.289189,0.280824,0.272549,0.264365,0.256271,0.248269,0.24036,0.232544,0.224822,0.217196,0.209665,0.202232,0.194896,0.187659,0.180523,0.173487,0.166553,0.159723,0.152997,0.146377,0.139864,0.133459,0.127164,0.12098,0.114909,0.108952,0.103111,0.097388,0.091784,0.086302,0.080944,0.075712,0.070607,0.065634,0.060793,0.056089,0.051524,0.047101,0.042824,0.038697,0.034724,0.030909,0.027259,0.023778,0.020473,0.017351,0.014421,0.011694,0.00918,0.006894,0.004857,0.003091,0.001636,0.000551,0.0
05-2022,1.0,0.987528,0.975107,0.962738,0.95042,0.938155,0.925942,0.913782,0.901674,0.88962,0.877618,0.865671,0.853777,0.841937,0.830151,0.81842,0.806744,0.795122,0.783557,0.772046,0.760592,0.749194,0.737853,0.726568,0.715341,0.704171,0.693059,0.682004,0.671009,0.660072,0.649194,0.638375,0.627616,0.616917,0.606279,0.595701,0.585185,0.57473,0.564337,0.554007,0.543739,0.533534,0.523393,0.513316,0.503303,0.493355,0.483472,0.473655,0.463905,0.454221,0.444604,0.435055,0.425574,0.416161,0.406818,0.397545,0.388342,0.37921,0.370149,0.361161,0.352245,0.343403,0.334634,0.32594,0.317322,0.308779,0.300314,0.291925,0.283615,0.275384,0.267233,0.259163,0.251174,0.243267,0.235444,0.227704,0.220051,0.212483,0.205003,0.197611,0.190308,0.183097,0.175977,0.16895,0.162018,0.155181,0.148442,0.141802,0.135262,0.128824,0.12249,0.116261,0.11014,0.104128,0.098228,0.092442,0.086772,0.081221,0.075791,0.070487,0.065309,0.060263,0.055352,0.05058,0.045951,0.04147,0.037142,0.032973,0.028971,0.025142,0.021496,0.018042,0.014792,0.011761,0.008968,0.006435,0.004195,0.002295,0.000819,0.0
06-2022,1.0,0.98867,0.977374,0.966111,0.954882,0.943688,0.932527,0.921402,0.910311,0.899255,0.888234,0.877248,0.866298,0.855384,0.844506,0.833664,0.822859,0.81209,0.801358,0.790663,0.780006,0.769386,0.758805,0.748261,0.737756,0.727289,0.716861,0.706473,0.696124,0.685815,0.675546,0.665317,0.655129,0.644981,0.634875,0.624811,0.614788,0.604808,0.59487,0.584975,0.575123,0.565315,0.555551,0.545831,0.536156,0.526526,0.516941,0.507403,0.49791,0.488464,0.479066,0.469715,0.460412,0.451157,0.441952,0.432796,0.42369,0.414635,0.40563,0.396677,0.387776,0.378928,0.370133,0.361392,0.352706,0.344074,0.335499,0.32698,0.318518,0.310114,0.301769,0.293483,0.285257,0.277093,0.26899,0.260951,0.252975,0.245063,0.237218,0.229439,0.221728,0.214086,0.206514,0.199014,0.191586,0.184232,0.176953,0.169751,0.162628,0.155585,0.148623,0.141745,0.134953,0.128248,0.121633,0.11511,0.108681,0.10235,0.096119,0.089991,0.083969,0.078057,0.072259,0.06658,0.061023,0.055595,0.050301,0.045148,0.040144,0.035296,0.030616,0.026114,0.021806,0.017708,0.013844,0.010242,0.006945,0.004017,0.001576,0.0
07-2022,1.0,0.987145,0.974347,0.961608,0.948927,0.936305,0.923742,0.911238,0.898793,0.886408,0.874083,0.861818,0.849613,0.837469,0.825386,0.813364,0.801404,0.789505,0.777669,0.765895,0.754183,0.742534,0.730949,0.719427,0.707969,0.696575,0.685245,0.673981,0.662781,0.651647,0.640578,0.629576,0.61864,0.607771,0.596969,0.586235,0.575568,0.56497,0.554441,0.543981,0.53359,0.523269,0.513018,0.502839,0.49273,0.482693,0.472728,0.462835,0.453016,0.44327,0.433598,0.424,0.414478,0.405031,0.39566,0.386365,0.377148,0.368008,0.358947,0.349964,0.341061,0.332238,0.323496,0.314835,0.306256,0.29776,0.289348,0.281019,0.272776,0.264619,0.256547,0.248564,0.240668,0.232862,0.225146,0.21752,0.209986,0.202546,0.195199,0.187947,0.180791,0.173732,0.166772,0.159911,0.153151,0.146493,0.139939,0.13349,0.127148,0.120913,0.114789,0.108776,0.102877,0.097093,0.091426,0.085879,0.080454,0.075154,0.06998,0.064936,0.060025,0.05525,0.050614,0.046121,0.041776,0.037582,0.033546,0.029672,0.025966,0.022436,0.019089,0.015935,0.012985,0.010252,0.007752,0.005506,0.003542,0.001902,0.000657,0.0
08-2022,1.0,0.987644,0.975338,0.963081,0.950875,0.938718,0.926612,0.914556,0.902552,0.890598,0.878696,0.866845,0.855046,0.843299,0.831604,0.819962,0.808373,0.796837,0.785355,0.773926,0.762551,0.75123,0.739964,0.728752,0.717596,0.706495,0.69545,0.684462,0.673529,0.662653,0.651834,0.641073,0.630369,0.619724,0.609136,0.598608,0.588139,0.577729,0.567379,0.557089,0.546861,0.536693,0.526587,0.516542,0.50656,0.496641,0.486785,0.476993,0.467265,0.457601,0.448003,0.43847,0.429004,0.419604,0.410271,0.401006,0.391809,0.382681,0.373622,0.364634,0.355716,0.346869,0.338094,0.329392,0.320763,0.312208,0.303728,0.295322,0.286994,0.278742,0.270567,0.262472,0.254456,0.24652,0.238665,0.230893,0.223203,0.215598,0.208078,0.200645,0.193299,0.186041,0.178873,0.171797,0.164812,0.157922,0.151127,0.144429,0.137829,0.131329,0.12493,0.118636,0.112447,0.106365,0.100393,0.094533,0.088788,0.08316,0.077651,0.072265,0.067006,0.061875,0.056878,0.052018,0.0473,0.042729,0.038309,0.034048,0.029951,0.026028,0.022285,0.018735,0.015389,0.012263,0.009374,0.006748,0.004417,0.00243,0.000875,0.0
09-2022,1.0,0.987602,0.975255,0.962958,0.950711,0.938515,0.92637,0.914277,0.902235,0.890245,0.878307,0.866421,0.854588,0.842807,0.83108,0.819406,0.807785,0.796219,0.784706,0.773248,0.761844,0.750495,0.739202,0.727964,0.716782,0.705657,0.694587,0.683575,0.672619,0.661721,0.650881,0.640099,0.629375,0.61871,0.608105,0.597558,0.587072,0.576646,0.566281,0.555976,0.545733,0.535552,0.525433,0.515377,0.505384,0.495454,0.485588,0.475787,0.466051,0.45638,0.446775,0.437236,0.427764,0.41836,0.409023,0.399755,0.390556,0.381426,0.372367,0.363378,0.354461,0.345616,0.336843,0.328144,0.319518,0.310968,0.302492,0.294093,0.285771,0.277527,0.269361,0.261274,0.253268,0.245342,0.237499,0.229738,0.222062,0.21447,0.206964,0.199546,0.192215,0.184974,0.177824,0.170765,0.163799,0.156929,0.150154,0.143476,0.136898,0.13042,0.124045,0.117774,0.11161,0.105553,0.099607,0.093774,0.088056,0.082455,0.076976,0.071619,0.066389,0.061289,0.056323,0.051495,0.046809,0.04227,0.037884,0.033656,0.029594,0.025705,0.021997,0.018482,0.015171,0.01208,0.009226,0.006633,0.004336,0.002381,0.000854,0.0
10-2022,1.0,0.987325,0.974705,0.962139,0.94963,0.937175,0.924777,0.912434,0.900148,0.887918,0.875745,0.863629,0.85157,0.839569,0.827625,0.815739,0.803912,0.792144,0.780434,0.768784,0.757192,0.745661,0.73419,0.722779,0.711429,0.700139,0.688911,0.677745,0.66664,0.655598,0.644618,0.633701,0.622848,0.612058,0.601332,0.590671,0.580074,0.569542,0.559076,0.548676,0.538342,0.528075,0.517875,0.507742,0.497678,0.487681,0.477754,0.467896,0.458108,0.44839,0.438743,0.429167,0.419663,0.410231,0.400872,0.391587,0.382375,0.373238,0.364176,0.355189,0.346279,0.337446,0.328691,0.320013,0.311415,0.302896,0.294458,0.2861,0.277824,0.269631,0.261522,0.253497,0.245556,0.237702,0.229934,0.222255,0.214664,0.207163,0.199753,0.192434,0.185209,0.178078,0.171042,0.164103,0.157262,0.15052,0.143878,0.137339,0.130904,0.124574,0.118351,0.112237,0.106233,0.100342,0.094566,0.088908,0.083368,0.07795,0.072657,0.067491,0.062456,0.057555,0.052791,0.048168,0.043691,0.039364,0.035193,0.031182,0.027339,0.023671,0.020186,0.016894,0.013806,0.010936,0.008302,0.005925,0.003836,0.002078,0.000729,0.0
