date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240
01-2022,1.0,0.99382,0.987653,0.981499,0.975356,0.969227,0.96311,0.957005,0.950913,0.944833,0.938766,0.932712,0.926671,0.920642,0.914626,0.908623,0.902632,0.896655,0.89069,0.884738,0.878799,0.872873,0.86696,0.86106,0.855173,0.8493,0.843439,0.837591,0.831757,0.825936,0.820128,0.814333,0.808552,0.802784,0.797029,0.791288,0.785561,0.779846,0.774146,0.768458,0.762785,0.757125,0.751478,0.745846,0.740227,0.734622,0.729031,0.723453,0.717889,0.71234,0.706804,0.701282,0.695775,0.690281,0.684802,0.679336,0.673885,0.668448,0.663025,0.657617,0.652223,0.646843,0.641478,0.636128,0.630791,0.62547,0.620163,0.614871,0.609593,0.60433,0.599082,0.593849,0.58863,0.583427,0.578238,0.573065,0.567907,0.562763,0.557635,0.552522,0.547425,0.542342,0.537276,0.532224,0.527188,0.522167,0.517162,0.512173,0.507199,0.502242,0.497299,0.492373,0.487463,0.482568,0.47769,0.472827,0.467981,0.463151,0.458337,0.45354,0.448759,0.443994,0.439246,0.434514,0.429799,0.425101,0.420419,0.415754,0.411106,0.406475,0.401861,0.397264,0.392684,0.388122,0.383577,0.379049,0.374538,0.370045,0.36557,0.361112,0.356672,0.35225,0.347846,0.343459,0.339091,0.334741,0.330409,0.326096,0.3218,0.317524,0.313265,0.309026,0.304805,0.300603,0.29642,0.292256,0.288111,0.283985,0.279879,0.275792,0.271725,0.267677,0.263648,0.25964,0.255652,0.251683,0.247735,0.243807,0.239899,0.236012,0.232146,0.2283,0.224475,0.220671,0.216888,0.213126,0.209386,0.205667,0.20197,0.198295,0.194641,0.19101,0.187401,0.183814,0.180249,0.176708,0.173189,0.169693,0.16622,0.162771,0.159345,0.155943,0.152564,0.14921,0.14588,0.142574,0.139293,0.136037,0.132806,0.1296,0.126419,0.123264,0.120135,0.117032,0.113956,0.110906,0.107883,0.104888,0.10192,0.098979,0.096066,0.093182,0.090327,0.0875,0.084702,0.081935,0.079197,0.076489,0.073812,0.071166,0.068552,0.065969,0.063419,0.060901,0.058417,0.055966,0.05355,0.051168,0.048822,0.046512,0.044238,0.042002,0.039803,0.037643,0.035523,0.033442,0.031403,0.029405,0.027451,0.025541,0.023676,0.021857,0.020086,0.018364,0.016693,0.015074,0.01351,0.012002,0.010553,0.009166,0.007844,0.006591,0.00541,0.004307,0.00329,0.002365,0.001546,0.000849,0.000305,0.0
02-2022,1.0,0.993838,0.987689,0.981552,0.975428,0.969315,0.963215,0.957128,0.951053,0.94499,0.93894,0.932902,0.926877,0.920865,0.914865,0.908877,0.902903,0.896941,0.890991,0.885055,0.879131,0.87322,0.867322,0.861437,0.855565,0.849705,0.843859,0.838025,0.832205,0.826398,0.820603,0.814822,0.809054,0.8033,0.797558,0.79183,0.786115,0.780413,0.774725,0.76905,0.763389,0.757741,0.752106,0.746486,0.740878,0.735284,0.729704,0.724138,0.718585,0.713047,0.707521,0.70201,0.696513,0.691029,0.68556,0.680104,0.674663,0.669236,0.663822,0.658423,0.653038,0.647668,0.642311,0.636969,0.631642,0.626329,0.62103,0.615745,0.610476,0.605221,0.59998,0.594754,0.589543,0.584347,0.579165,0.573999,0.568847,0.56371,0.558588,0.553482,0.54839,0.543313,0.538252,0.533206,0.528176,0.52316,0.51816,0.513176,0.508207,0.503254,0.498316,0.493394,0.488488,0.483597,0.478723,0.473864,0.469021,0.464194,0.459384,0.454589,0.449811,0.445049,0.440303,0.435574,0.430861,0.426165,0.421485,0.416822,0.412176,0.407546,0.402934,0.398338,0.393759,0.389197,0.384653,0.380125,0.375615,0.371122,0.366647,0.362189,0.357749,0.353326,0.348921,0.344534,0.340165,0.335814,0.331481,0.327166,0.322869,0.31859,0.31433,0.310089,0.305866,0.301661,0.297476,0.293309,0.289161,0.285032,0.280923,0.276833,0.272762,0.26871,0.264678,0.260666,0.256673,0.2527,0.248748,0.244815,0.240903,0.237011,0.233139,0.229288,0.225457,0.221648,0.217859,0.214092,0.210345,0.20662,0.202917,0.199235,0.195575,0.191937,0.18832,0.184726,0.181155,0.177605,0.174079,0.170575,0.167095,0.163637,0.160203,0.156792,0.153405,0.150042,0.146703,0.143388,0.140098,0.136832,0.133592,0.130376,0.127186,0.124021,0.120882,0.117769,0.114682,0.111622,0.108588,0.105581,0.102602,0.099651,0.096727,0.093831,0.090964,0.088125,0.085316,0.082536,0.079786,0.077066,0.074376,0.071718,0.069091,0.066495,0.063932,0.061401,0.058904,0.05644,0.05401,0.051615,0.049255,0.046931,0.044643,0.042393,0.04018,0.038006,0.035871,0.033776,0.031722,0.02971,0.027741,0.025816,0.023936,0.022102,0.020317,0.01858,0.016894,0.01526,0.013681,0.012158,0.010695,0.009293,0.007956,0.006688,0.005493,0.004377,0.003345,0.002407,0.001575,0.000867,0.000312,0.0
03-2022,1.0,0.9938,0.987613,0.981438,0.975276,0.969126,0.962989,0.956865,0.950754,0.944655,0.938569,0.932496,0.926436,0.920389,0.914355,0.908333,0.902325,0.896329,0.890347,0.884378,0.878422,0.872479,0.866549,0.860632,0.854729,0.848838,0.842961,0.837098,0.831248,0.825411,0.819587,0.813777,0.807981,0.802198,0.796428,0.790673,0.78493,0.779202,0.773487,0.767786,0.762098,0.756425,0.750765,0.745119,0.739487,0.733869,0.728265,0.722675,0.717099,0.711537,0.705989,0.700455,0.694936,0.689431,0.68394,0.678463,0.673001,0.667553,0.66212,0.656701,0.651297,0.645907,0.640532,0.635171,0.629826,0.624495,0.619178,0.613877,0.60859,0.603319,0.598062,0.592821,0.587594,0.582382,0.577186,0.572005,0.566839,0.561689,0.556553,0.551433,0.546329,0.54124,0.536167,0.531109,0.526067,0.52104,0.51603,0.511035,0.506056,0.501093,0.496145,0.491214,0.486299,0.4814,0.476518,0.471651,0.466801,0.461967,0.45715,0.452349,0.447564,0.442797,0.438046,0.433311,0.428594,0.423893,0.419209,0.414542,0.409893,0.40526,0.400645,0.396047,0.391466,0.386902,0.382356,0.377828,0.373317,0.368824,0.364349,0.359891,0.355452,0.35103,0.346626,0.342241,0.337874,0.333525,0.329195,0.324883,0.320589,0.316315,0.312059,0.307821,0.303603,0.299404,0.295224,0.291063,0.286921,0.282799,0.278696,0.274613,0.27055,0.266506,0.262482,0.258478,0.254495,0.250531,0.246588,0.242665,0.238763,0.234882,0.231021,0.227181,0.223362,0.219565,0.215789,0.212034,0.2083,0.204589,0.200899,0.197231,0.193585,0.189961,0.18636,0.182781,0.179225,0.175692,0.172182,0.168695,0.165231,0.161791,0.158375,0.154982,0.151613,0.148269,0.144949,0.141654,0.138383,0.135137,0.131917,0.128722,0.125553,0.122409,0.119292,0.116201,0.113136,0.110098,0.107088,0.104104,0.101149,0.098221,0.095321,0.09245,0.089607,0.086794,0.08401,0.081256,0.078532,0.075838,0.073175,0.070543,0.067943,0.065375,0.06284,0.060337,0.057868,0.055432,0.053031,0.050665,0.048334,0.04604,0.043782,0.041561,0.039379,0.037235,0.03513,0.033066,0.031043,0.029063,0.027125,0.025231,0.023383,0.021581,0.019826,0.018121,0.016467,0.014865,0.013318,0.011827,0.010395,0.009024,0.007719,0.006481,0.005317,0.00423,0.003228,0.002318,0.001513,0.000829,0.000297,0.0
04-2022,1.0,0.993292,0.986601,0.979926,0.973269,0.96663,0.960007,0.953401,0.946813,0.940242,0.933688,0.927152,0.920632,0.91413,0.907646,0.901179,0.894729,0.888297,0.881883,0.875486,0.869106,0.862744,0.8564,0.850074,0.843765,0.837474,0.8312,0.824945,0.818707,0.812487,0.806285,0.800101,0.793935,0.787787,0.781657,0.775546,0.769452,0.763376,0.757319,0.751279,0.745258,0.739256,0.733271,0.727305,0.721358,0.715428,0.709518,0.703625,0.697752,0.691897,0.68606,0.680242,0.674443,0.668663,0.662901,0.657159,0.651435,0.64573,0.640044,0.634377,0.628728,0.623099,0.61749,0.611899,0.606327,0.600775,0.595242,0.589728,0.584234,0.578759,0.573304,0.567868,0.562451,0.557055,0.551677,0.54632,0.540982,0.535664,0.530366,0.525088,0.51983,0.514591,0.509373,0.504175,0.498997,0.493839,0.488701,0.483584,0.478487,0.47341,0.468354,0.463318,0.458303,0.453309,0.448335,0.443382,0.438449,0.433538,0.428647,0.423777,0.418929,0.414101,0.409295,0.404509,0.399745,0.395002,0.390281,0.385581,0.380903,0.376246,0.371611,0.366997,0.362405,0.357835,0.353287,0.348761,0.344257,0.339775,0.335316,0.330878,0.326463,0.32207,0.3177,0.313352,0.309027,0.304725,0.300445,0.296189,0.291955,0.287744,0.283556,0.279392,0.275251,0.271133,0.267039,0.262968,0.25892,0.254897,0.250897,0.246921,0.24297,0.239042,0.235138,0.231259,0.227404,0.223574,0.219768,0.215987,0.212231,0.208499,0.204793,0.201112,0.197455,0.193825,0.19022,0.18664,0.183086,0.179558,0.176056,0.17258,0.16913,0.165706,0.162309,0.158939,0.155595,0.152278,0.148988,0.145725,0.14249,0.139282,0.136102,0.132949,0.129825,0.126728,0.12366,0.12062,0.117609,0.114627,0.111673,0.108749,0.105854,0.102989,0.100153,0.097348,0.094572,0.091827,0.089113,0.086429,0.083776,0.081155,0.078565,0.076007,0.073482,0.070988,0.068527,0.066099,0.063704,0.061343,0.059015,0.056721,0.054462,0.052238,0.050049,0.047895,0.045778,0.043696,0.041651,0.039644,0.037674,0.035742,0.033849,0.031995,0.030181,0.028406,0.026673,0.024981,0.023331,0.021725,0.020161,0.018642,0.017169,0.015742,0.014362,0.01303,0.011747,0.010516,0.009336,0.008211,0.00714,0.006127,0.005174,0.004282,0.003456,0.002699,0.002014,0.001408,0.000887,0.000463,0.000152,0.0
05-2022,1.0,0.99381,0.987633,0.981468,0.975316,0.969176,0.963049,0.956934,0.950833,0.944744,0.938667,0.932604,0.926553,0.920515,0.914489,0.908477,0.902477,0.896491,0.890517,0.884557,0.878609,0.872675,0.866753,0.860845,0.854949,0.849067,0.843198,0.837343,0.8315,0.825671,0.819856,0.814053,0.808264,0.802489,0.796727,0.790978,0.785243,0.779522,0.773814,0.76812,0.762439,0.756772,0.751119,0.74548,0.739854,0.734243,0.728645,0.723061,0.717491,0.711935,0.706394,0.700866,0.695352,0.689853,0.684368,0.678897,0.67344,0.667997,0.662569,0.657156,0.651757,0.646372,0.641002,0.635646,0.630305,0.624979,0.619667,0.61437,0.609088,0.603821,0.598568,0.593331,0.588108,0.582901,0.577708,0.572531,0.567369,0.562222,0.55709,0.551974,0.546873,0.541787,0.536717,0.531662,0.526623,0.5216,0.516592,0.5116,0.506623,0.501663,0.496718,0.491789,0.486877,0.48198,0.477099,0.472235,0.467387,0.462555,0.457739,0.45294,0.448157,0.443391,0.438641,0.433908,0.429192,0.424492,0.419809,0.415144,0.410495,0.405863,0.401248,0.396651,0.39207,0.387507,0.382962,0.378434,0.373923,0.36943,0.364954,0.360497,0.356057,0.351635,0.347231,0.342845,0.338478,0.334128,0.329797,0.325484,0.32119,0.316914,0.312657,0.308419,0.304199,0.299999,0.295817,0.291655,0.287511,0.283387,0.279283,0.275198,0.271132,0.267087,0.263061,0.259055,0.255068,0.251103,0.247157,0.243231,0.239327,0.235442,0.231579,0.227736,0.223914,0.220113,0.216334,0.212575,0.208839,0.205123,0.20143,0.197758,0.194109,0.190481,0.186876,0.183293,0.179733,0.176196,0.172681,0.16919,0.165722,0.162277,0.158856,0.155458,0.152085,0.148735,0.14541,0.14211,0.138834,0.135583,0.132357,0.129157,0.125982,0.122833,0.11971,0.116613,0.113542,0.110499,0.107482,0.104493,0.101531,0.098596,0.09569,0.092813,0.089964,0.087144,0.084353,0.081592,0.078861,0.07616,0.073491,0.070852,0.068245,0.065669,0.063126,0.060616,0.05814,0.055697,0.053288,0.050914,0.048576,0.046274,0.044008,0.041779,0.039589,0.037437,0.035325,0.033252,0.031221,0.029232,0.027286,0.025384,0.023528,0.021717,0.019955,0.018241,0.016579,0.014969,0.013413,0.011914,0.010473,0.009095,0.007781,0.006535,0.005363,0.004268,0.003258,0.002341,0.001529,0.000839,0.000301,0.0
06-2022,1.0,0.994667,0.98934,0.984019,0.978704,0.973395,0.968093,0.962797,0.957507,0.952224,0.946947,0.941676,0.936412,0.931154,0.925902,0.920657,0.915418,0.910186,0.90496,0.899741,0.894528,0.889322,0.884122,0.878929,0.873743,0.868563,0.86339,0.858223,0.853063,0.84791,0.842764,0.837625,0.832492,0.827366,0.822247,0.817135,0.81203,0.806932,0.80184,0.796756,0.791678,0.786608,0.781545,0.776488,0.771439,0.766397,0.761362,0.756335,0.751314,0.746301,0.741295,0.736296,0.731305,0.726321,0.721344,0.716375,0.711413,0.706459,0.701512,0.696572,0.691641,0.686716,0.6818,0.676891,0.671989,0.667096,0.66221,0.657332,0.652462,0.647599,0.642745,0.637898,0.633059,0.628229,0.623406,0.618591,0.613784,0.608986,0.604196,0.599413,0.594639,0.589874,0.585116,0.580367,0.575627,0.570894,0.566171,0.561455,0.556749,0.55205,0.547361,0.54268,0.538008,0.533344,0.52869,0.524044,0.519407,0.514779,0.51016,0.50555,0.500949,0.496357,0.491774,0.4872,0.482636,0.478081,0.473535,0.468999,0.464472,0.459955,0.455447,0.450949,0.446461,0.441982,0.437513,0.433054,0.428605,0.424166,0.419736,0.415317,0.410908,0.406509,0.402121,0.397742,0.393375,0.389017,0.38467,0.380334,0.376008,0.371693,0.367389,0.363096,0.358813,0.354542,0.350282,0.346032,0.341794,0.337568,0.333353,0.329149,0.324957,0.320776,0.316607,0.312451,0.308305,0.304172,0.300051,0.295943,0.291846,0.287762,0.28369,0.279631,0.275585,0.271551,0.267531,0.263523,0.259528,0.255547,0.251579,0.247625,0.243684,0.239756,0.235843,0.231944,0.228058,0.224187,0.220331,0.216488,0.212661,0.208848,0.205051,0.201268,0.197501,0.193749,0.190013,0.186292,0.182588,0.1789,0.175228,0.171572,0.167934,0.164312,0.160707,0.15712,0.153551,0.149999,0.146465,0.14295,0.139453,0.135975,0.132516,0.129077,0.125657,0.122257,0.118878,0.115519,0.112181,0.108864,0.105569,0.102297,0.099046,0.095819,0.092614,0.089434,0.086278,0.083146,0.08004,0.076959,0.073905,0.070878,0.067879,0.064908,0.061966,0.059054,0.056173,0.053323,0.050506,0.047722,0.044973,0.04226,0.039584,0.036946,0.034349,0.031793,0.029281,0.026814,0.024396,0.022028,0.019715,0.017458,0.015263,0.013134,0.011077,0.0091,0.007212,0.005426,0.003759,0.002241,0.000926,0.0
07-2022,1.0,0.993523,0.98706,0.980613,0.974181,0.967763,0.961361,0.954974,0.948602,0.942245,0.935904,0.929577,0.923266,0.91697,0.910689,0.904424,0.898174,0.891939,0.88572,0.879516,0.873328,0.867155,0.860998,0.854857,0.848731,0.84262,0.836526,0.830447,0.824384,0.818336,0.812305,0.806289,0.800289,0.794305,0.788337,0.782385,0.776449,0.770529,0.764625,0.758737,0.752866,0.747011,0.741171,0.735349,0.729542,0.723752,0.717978,0.712221,0.70648,0.700755,0.695048,0.689356,0.683682,0.678024,0.672382,0.666758,0.66115,0.655559,0.649985,0.644428,0.638888,0.633365,0.627858,0.622369,0.616897,0.611442,0.606005,0.600584,0.595181,0.589796,0.584427,0.579077,0.573743,0.568427,0.563129,0.557848,0.552585,0.54734,0.542113,0.536903,0.531711,0.526537,0.521381,0.516243,0.511124,0.506022,0.500939,0.495873,0.490826,0.485798,0.480788,0.475796,0.470823,0.465868,0.460932,0.456014,0.451116,0.446236,0.441375,0.436533,0.43171,0.426906,0.422121,0.417355,0.412609,0.407881,0.403174,0.398485,0.393816,0.389167,0.384537,0.379927,0.375337,0.370766,0.366215,0.361685,0.357174,0.352684,0.348213,0.343763,0.339334,0.334925,0.330536,0.326168,0.32182,0.317493,0.313187,0.308902,0.304638,0.300395,0.296174,0.291973,0.287794,0.283636,0.2795,0.275385,0.271292,0.267221,0.263171,0.259144,0.255139,0.251155,0.247195,0.243256,0.23934,0.235447,0.231576,0.227729,0.223904,0.220102,0.216323,0.212568,0.208836,0.205127,0.201442,0.197781,0.194144,0.190531,0.186942,0.183377,0.179837,0.176321,0.17283,0.169364,0.165922,0.162506,0.159115,0.15575,0.15241,0.149096,0.145808,0.142546,0.13931,0.136101,0.132918,0.129763,0.126634,0.123532,0.120458,0.117411,0.114392,0.111401,0.108439,0.105504,0.102599,0.099722,0.096875,0.094057,0.091268,0.08851,0.085781,0.083083,0.080416,0.07778,0.075175,0.072602,0.07006,0.067551,0.065075,0.062632,0.060222,0.057845,0.055503,0.053196,0.050923,0.048686,0.046485,0.04432,0.042192,0.040101,0.038049,0.036035,0.03406,0.032125,0.03023,0.028377,0.026565,0.024797,0.023072,0.021392,0.019757,0.018169,0.016629,0.015137,0.013696,0.012307,0.010972,0.009692,0.008469,0.007306,0.006205,0.00517,0.004204,0.00331,0.002495,0.001766,0.001131,0.000603,0.000206,0.0
08-2022,1.0,0.993898,0.987807,0.981728,0.975661,0.969606,0.963562,0.957531,0.951512,0.945504,0.939509,0.933525,0.927554,0.921594,0.915647,0.909712,0.903789,0.897879,0.89198,0.886094,0.88022,0.874359,0.868509,0.862673,0.856848,0.851036,0.845237,0.83945,0.833675,0.827913,0.822164,0.816427,0.810704,0.804992,0.799294,0.793608,0.787935,0.782275,0.776628,0.770993,0.765372,0.759764,0.754168,0.748586,0.743017,0.73746,0.731917,0.726388,0.720871,0.715368,0.709878,0.704401,0.698938,0.693488,0.688052,0.682629,0.677219,0.671824,0.666441,0.661073,0.655718,0.650377,0.64505,0.639736,0.634437,0.629151,0.623879,0.618621,0.613378,0.608148,0.602933,0.597731,0.592544,0.587371,0.582213,0.577069,0.571939,0.566824,0.561723,0.556637,0.551565,0.546508,0.541466,0.536438,0.531425,0.526427,0.521444,0.516476,0.511523,0.506585,0.501663,0.496755,0.491862,0.486985,0.482123,0.477277,0.472446,0.46763,0.462831,0.458046,0.453278,0.448525,0.443788,0.439067,0.434362,0.429672,0.424999,0.420342,0.415701,0.411077,0.406469,0.401877,0.397301,0.392743,0.3882,0.383675,0.379166,0.374674,0.370199,0.365741,0.3613,0.356876,0.35247,0.34808,0.343708,0.339354,0.335017,0.330697,0.326395,0.322112,0.317845,0.313597,0.309367,0.305155,0.300962,0.296786,0.29263,0.288491,0.284371,0.28027,0.276188,0.272125,0.26808,0.264055,0.260049,0.256063,0.252096,0.248148,0.24422,0.240312,0.236424,0.232556,0.228708,0.22488,0.221073,0.217286,0.21352,0.209775,0.206051,0.202348,0.198666,0.195005,0.191366,0.187749,0.184153,0.18058,0.177028,0.173499,0.169992,0.166508,0.163047,0.159609,0.156194,0.152802,0.149434,0.14609,0.142769,0.139473,0.136201,0.132954,0.129731,0.126534,0.123361,0.120215,0.117094,0.113998,0.11093,0.107887,0.104872,0.101883,0.098922,0.095989,0.093084,0.090206,0.087358,0.084538,0.081748,0.078988,0.076257,0.073557,0.070888,0.06825,0.065644,0.06307,0.060529,0.058021,0.055546,0.053106,0.050701,0.048331,0.045997,0.0437,0.041441,0.039219,0.037037,0.034894,0.032792,0.030731,0.028713,0.026739,0.02481,0.022927,0.021092,0.019305,0.017569,0.015886,0.014257,0.012685,0.011171,0.00972,0.008334,0.007018,0.005775,0.004611,0.003533,0.002551,0.001676,0.000927,0.000337,0.0
09-2022,1.0,0.993866,0.987744,0.981634,0.975536,0.969451,0.963377,0.957316,0.951267,0.94523,0.939205,0.933193,0.927193,0.921205,0.91523,0.909267,0.903316,0.897378,0.891453,0.88554,0.879639,0.873751,0.867876,0.862013,0.856163,0.850326,0.844501,0.83869,0.832891,0.827104,0.821331,0.815571,0.809823,0.804089,0.798367,0.792659,0.786964,0.781281,0.775612,0.769956,0.764313,0.758684,0.753068,0.747465,0.741875,0.736299,0.730736,0.725187,0.719651,0.714128,0.70862,0.703125,0.697643,0.692175,0.686721,0.681281,0.675854,0.670442,0.665043,0.659658,0.654287,0.64893,0.643587,0.638259,0.632944,0.627644,0.622357,0.617085,0.611828,0.606585,0.601356,0.596141,0.590941,0.585756,0.580585,0.575429,0.570287,0.56516,0.560048,0.554951,0.549869,0.544801,0.539749,0.534712,0.529689,0.524682,0.51969,0.514713,0.509751,0.504805,0.499874,0.494959,0.490059,0.485175,0.480306,0.475453,0.470616,0.465794,0.460989,0.456199,0.451425,0.446667,0.441926,0.4372,0.432491,0.427798,0.423121,0.418461,0.413817,0.40919,0.404579,0.399985,0.395408,0.390847,0.386304,0.381777,0.377268,0.372775,0.3683,0.363842,0.359401,0.354978,0.350572,0.346184,0.341813,0.337461,0.333126,0.328808,0.324509,0.320228,0.315965,0.311721,0.307494,0.303286,0.299097,0.294926,0.290774,0.286641,0.282526,0.278431,0.274355,0.270298,0.26626,0.262242,0.258243,0.254263,0.250304,0.246364,0.242445,0.238545,0.234666,0.230807,0.226968,0.22315,0.219353,0.215576,0.211821,0.208086,0.204373,0.200681,0.197011,0.193362,0.189735,0.18613,0.182547,0.178987,0.175449,0.171933,0.16844,0.16497,0.161524,0.1581,0.1547,0.151323,0.147971,0.144642,0.141338,0.138058,0.134803,0.131572,0.128367,0.125187,0.122032,0.118903,0.115801,0.112724,0.109674,0.106651,0.103655,0.100686,0.097745,0.094832,0.091947,0.08909,0.086263,0.083464,0.080695,0.077957,0.075248,0.07257,0.069923,0.067308,0.064725,0.062174,0.059656,0.057172,0.054721,0.052305,0.049924,0.047579,0.04527,0.042998,0.040763,0.038567,0.03641,0.034293,0.032217,0.030182,0.028191,0.026243,0.02434,0.022483,0.020675,0.018915,0.017206,0.015549,0.013947,0.012401,0.010914,0.00949,0.00813,0.00684,0.005623,0.004484,0.003432,0.002473,0.001622,0.000894,0.000323,0.0
10-2022,1.0,0.993658,0.98733,0.981015,0.974715,0.968428,0.962155,0.955896,0.949651,0.94342,0.937203,0.931,0.924811,0.918636,0.912476,0.906329,0.900197,0.894078,0.887974,0.881885,0.875809,0.869748,0.863702,0.857669,0.851652,0.845648,0.839659,0.833685,0.827725,0.82178,0.815849,0.809934,0.804032,0.798146,0.792274,0.786417,0.780575,0.774748,0.768936,0.763138,0.757356,0.751589,0.745836,0.740099,0.734377,0.72867,0.722978,0.717302,0.711641,0.705995,0.700364,0.694749,0.689149,0.683565,0.677996,0.672443,0.666906,0.661384,0.655877,0.650387,0.644912,0.639453,0.63401,0.628582,0.623171,0.617776,0.612396,0.607033,0.601686,0.596355,0.59104,0.585741,0.580459,0.575193,0.569944,0.564711,0.559494,0.554294,0.54911,0.543943,0.538793,0.53366,0.528543,0.523443,0.51836,0.513294,0.508245,0.503213,0.498198,0.4932,0.48822,0.483257,0.478311,0.473382,0.468471,0.463577,0.458701,0.453843,0.449002,0.444179,0.439373,0.434586,0.429816,0.425065,0.420331,0.415616,0.410919,0.40624,0.401579,0.396937,0.392313,0.387707,0.383121,0.378552,0.374003,0.369472,0.364961,0.360468,0.355994,0.351539,0.347104,0.342687,0.33829,0.333913,0.329555,0.325216,0.320897,0.316598,0.312319,0.308059,0.30382,0.2996,0.295401,0.291222,0.287063,0.282925,0.278808,0.274711,0.270634,0.266579,0.262544,0.258531,0.254538,0.250567,0.246617,0.242689,0.238782,0.234897,0.231034,0.227192,0.223373,0.219576,0.215801,0.212048,0.208318,0.204611,0.200926,0.197264,0.193625,0.19001,0.186418,0.182849,0.179303,0.175782,0.172284,0.168811,0.165361,0.161936,0.158536,0.15516,0.151809,0.148483,0.145183,0.141907,0.138658,0.135434,0.132236,0.129064,0.125918,0.122799,0.119707,0.116642,0.113604,0.110594,0.107611,0.104656,0.101729,0.098831,0.095962,0.093121,0.09031,0.087528,0.084776,0.082054,0.079363,0.076702,0.074072,0.071474,0.068908,0.066374,0.063873,0.061404,0.058969,0.056567,0.0542,0.051868,0.049571,0.04731,0.045084,0.042896,0.040745,0.038632,0.036558,0.034524,0.032529,0.030575,0.028663,0.026793,0.024967,0.023186,0.02145,0.01976,0.018118,0.016526,0.014984,0.013495,0.01206,0.01068,0.009359,0.008099,0.006903,0.005773,0.004714,0.003731,0.002829,0.002017,0.001303,0.000704,0.000246,0.0
