date,value
01-2020,260.105711
02-2020,253.595904
03-2020,240.587029
04-2020,257.895398
05-2020,258.022497
06-2020,249.47652
07-2020,232.831292
08-2020,251.829411
09-2020,268.340229
10-2020,249.26977
11-2020,251.950418
12-2020,287.949917
01-2021,270.731272
02-2021,275.859935
03-2021,267.183508
04-2021,287.030639
05-2021,277.844637
06-2021,285.125306
07-2021,283.607926
08-2021,332.029824
09-2021,318.694504
10-2021,305.600903
11-2021,354.909104
12-2021,370.861919
01-2022,405.298027
02-2022,349.719023
03-2022,322.690243
04-2022,342.314559
05-2022,395.148399
06-2022,316.761757
07-2022,341.483234
08-2022,446.125437
09-2022,411.651783
10-2022,460.077432
11-2022,341.393426
12-2022,412.826402
01-2023,418.628789
02-2023,487.922064
03-2023,464.039703
04-2023,412.706494
05-2023,452.576397
06-2023,427.153637
07-2023,450.477846
08-2023,421.753304
09-2023,449.907834
10-2023,547.85667
11-2023,544.001074
12-2023,577.529376
01-2024,581.903251
02-2024,557.23961
03-2024,666.636824
04-2024,498.785716
05-2024,617.106929
06-2024,620.041503
07-2024,634.23789
08-2024,742.776239
09-2024,769.765072
10-2024,751.86063
11-2024,673.721071
12-2024,719.878935
