date,outstanding
01-2020,10202.11
02-2020,9570.51
03-2020,8854.31
04-2020,8699.9
05-2020,8254.55
06-2020,7694.95
07-2020,7051.03
08-2020,6937.73
09-2020,6779.32
10-2020,6182.33
11-2020,5877.18
12-2020,5940.56
01-2021,5437.78
02-2021,5183.05
03-2021,4815.4
04-2021,4708.03
05-2021,4368.84
06-2021,4172.0
07-2021,3921.95
08-2021,4001.36
09-2021,3688.41
10-2021,3400.34
11-2021,3453.65
12-2021,3324.52
01-2022,3278.8
02-2022,2851.19
03-2022,2577.03
04-2022,2494.35
05-2022,2521.29
06-2022,2126.44
07-2022,2071.41
08-2022,2227.19
09-2022,2005.63
10-2022,1995.57
11-2022,1619.69
12-2022,1665.17
01-2023,1575.21
02-2023,1598.53
03-2023,1462.8
04-2023,1298.22
05-2023,1274.79
06-2023,1165.5
07-2023,1123.06
08-2023,1024.14
09-2023,991.62
10-2023,1024.44
11-2023,958.79
12-2023,927.87
01-2024,874.77
02-2024,804.5
03-2024,826.95
04-2024,675.44
05-2024,701.5
06-2024,660.73
07-2024,627.83
08-2024,638.67
09-2024,611.08
10-2024,567.03
11-2024,504.71
12-2024,489.96
