date,outstanding
01-2020,971.18
02-2020,1033.22
03-2020,1113.33
04-2020,1343.79
05-2020,1245.67
06-2020,1039.51
07-2020,1473.24
08-2020,1421.11
09-2020,1498.98
10-2020,1633.35
11-2020,1724.43
12-2020,1978.47
01-2021,1944.89
02-2021,1903.46
03-2021,1801.49
04-2021,1814.02
05-2021,2134.01
06-2021,2414.76
07-2021,2228.67
08-2021,2266.87
09-2021,2462.29
10-2021,2133.02
11-2021,2429.07
12-2021,2657.39
01-2022,2801.8
02-2022,2646.79
03-2022,2838.03
04-2022,2880.15
05-2022,3054.77
06-2022,2743.46
07-2022,3147.55
08-2022,2798.79
09-2022,2645.5
10-2022,3115.91
11-2022,3121.92
12-2022,3548.08
01-2023,3573.53
02-2023,3264.66
03-2023,3745.74
04-2023,3443.63
05-2023,3694.62
06-2023,3720.88
07-2023,3870.34
08-2023,4078.98
09-2023,4110.73
10-2023,4120.82
11-2023,4248.63
12-2023,4282.14
01-2024,4128.84
02-2024,4178.56
03-2024,4295.84
04-2024,4557.49
05-2024,4475.4
06-2024,5060.37
07-2024,4497.16
08-2024,4509.04
09-2024,4950.3
10-2024,5148.78
11-2024,5033.34
12-2024,5167.16
