date,outstanding
01-2020,495.05
02-2020,509.85
03-2020,509.99
04-2020,516.52
05-2020,508.28
06-2020,497.67
07-2020,494.07
08-2020,529.6
09-2020,481.49
10-2020,511.99
11-2020,509.07
12-2020,532.38
01-2021,529.7
02-2021,539.3
03-2021,570.4
04-2021,560.34
05-2021,565.07
06-2021,621.92
07-2021,642.94
08-2021,678.26
09-2021,699.13
10-2021,712.28
11-2021,803.71
12-2021,824.41
01-2022,907.83
02-2022,951.47
03-2022,1058.47
04-2022,1206.38
05-2022,1344.16
06-2022,1463.88
07-2022,1685.41
08-2022,1801.05
09-2022,1876.33
10-2022,2245.11
11-2022,2274.13
12-2022,2523.93
01-2023,2849.35
02-2023,3163.72
03-2023,3383.43
04-2023,3508.78
05-2023,3771.08
06-2023,3756.39
07-2023,4359.2
08-2023,4176.83
09-2023,4314.22
10-2023,4409.81
11-2023,4685.44
12-2023,4634.4
01-2024,4702.38
02-2024,4680.75
03-2024,4726.03
04-2024,4846.8
05-2024,4845.6
06-2024,4892.44
07-2024,4813.97
08-2024,5075.54
09-2024,5012.06
10-2024,5193.67
11-2024,5051.38
12-2024,4998.28
